step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
0,10.894671,10.895374,0.000001,1.877147,6223.456640,10530.482301
1,10.890676,-1.000000,0.000002,2.906884,2430.343839,26965.731741
2,10.893970,-1.000000,0.000003,3.011884,2430.379542,26965.335606
3,10.877004,-1.000000,0.000004,2.895035,2434.631739,26918.239399
4,10.871762,-1.000000,0.000004,2.895068,2429.142656,26979.065984
5,10.861414,-1.000000,0.000005,2.953043,2430.685869,26961.937302
6,10.849668,-1.000000,0.000006,2.903797,2436.529464,26897.273753
7,10.831035,-1.000000,0.000007,2.871162,2476.532258,26462.808949
8,10.821333,-1.000000,0.000008,2.809783,2587.527389,25327.654609
9,10.798062,-1.000000,0.000009,2.876788,2604.770204,25159.992962
10,10.785381,-1.000000,0.000010,2.852834,2554.040363,25659.735433
11,10.775032,-1.000000,0.000011,2.687590,2690.898284,24354.692405
12,10.730013,-1.000000,0.000012,2.874144,2582.894595,25373.083411
13,10.698325,-1.000000,0.000012,2.919973,2494.009653,26277.364212
14,10.670143,-1.000000,0.000013,2.916691,2556.464793,25635.400957
15,10.653420,-1.000000,0.000014,2.779738,2509.149227,26118.813220
16,10.619880,-1.000000,0.000015,2.784691,2498.991989,26224.974025
17,10.581158,-1.000000,0.000016,2.826410,2527.485710,25929.325630
18,10.544827,-1.000000,0.000017,2.846267,2490.855311,26310.641052
19,10.526711,-1.000000,0.000018,2.787682,2502.093319,26192.468323
20,10.490112,-1.000000,0.000019,2.769186,2506.320239,26148.294611
21,10.444392,-1.000000,0.000020,2.771712,2493.046293,26287.518280
22,10.429651,-1.000000,0.000020,2.714964,2502.939136,26183.617115
23,10.415431,-1.000000,0.000021,2.640008,2518.278198,26024.130317
24,10.361663,-1.000000,0.000022,2.671427,2547.302444,25727.608496
25,10.306071,-1.000000,0.000023,2.795649,2519.420484,26012.331175
26,10.309189,-1.000000,0.000024,2.609704,2491.693401,26301.791374
27,10.259085,-1.000000,0.000025,2.697078,2493.290099,26284.947759
