step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
0,10.884071,10.885666,0.000003,1.629777,5201.447164,12599.570453
1,10.874168,-1.000000,0.000007,2.650058,2140.068804,30623.314483
2,10.852962,-1.000000,0.000010,2.741622,2096.619498,31257.936913
3,10.838393,-1.000000,0.000014,2.637924,2109.598141,31065.632229
4,10.810677,-1.000000,0.000017,2.640178,2125.762212,30829.412448
5,10.762661,-1.000000,0.000021,2.685107,2079.153383,31520.522024
6,10.716347,-1.000000,0.000024,2.643437,2093.411262,31305.840945
7,10.666145,-1.000000,0.000028,2.609850,2113.968101,31001.413867
8,10.624115,-1.000000,0.000031,2.571654,2144.175585,30564.661056
9,10.554604,-1.000000,0.000034,2.610023,2095.605059,31273.068233
10,10.502588,-1.000000,0.000038,2.603773,2114.394584,30995.160741
11,10.491800,-1.000000,0.000041,2.482391,2131.199204,30750.762236
12,10.388577,-1.000000,0.000045,2.629372,2090.146698,31354.736997
13,10.320261,-1.000000,0.000048,2.676538,2084.611835,31437.987111
14,10.273119,-1.000000,0.000052,2.694350,2113.820387,31003.580249
15,10.257869,-1.000000,0.000055,2.583417,2103.037327,31162.547216
16,10.209794,-1.000000,0.000059,2.595759,1992.618409,32889.388005
17,10.154081,-1.000000,0.000062,2.655185,1991.007784,32915.993863
18,10.101405,-1.000000,0.000066,2.693491,1992.136896,32897.337593
19,10.086201,-1.000000,0.000069,2.672934,1992.194014,32896.394397
20,10.047166,-1.000000,0.000072,2.668969,1997.978484,32801.154029
21,10.001719,-1.000000,0.000076,2.713820,1995.536758,32841.289311
22,9.987952,-1.000000,0.000079,2.677958,1994.928160,32851.308290
23,9.974598,-1.000000,0.000083,2.618778,1994.272868,32862.102800
24,9.914133,-1.000000,0.000086,2.675451,1994.741486,32854.382615
25,9.835926,-1.000000,0.000090,2.793335,1996.665207,32822.728503
26,9.837706,-1.000000,0.000093,2.665343,1997.925468,32802.024425
27,9.781710,-1.000000,0.000097,2.750241,1992.825673,32885.967342
28,9.729759,-1.000000,0.000100,2.749691,1996.397927,32827.122846
29,9.701581,-1.000000,0.000103,2.692255,1997.897724,32802.479933
30,9.626100,-1.000000,0.000107,2.789027,1999.303534,32779.414874
31,9.641882,-1.000000,0.000110,2.640349,1995.230858,32846.324393
32,9.574408,-1.000000,0.000114,2.684295,1995.012370,32849.921627
33,9.504733,-1.000000,0.000117,2.702343,1994.160508,32863.954399
34,9.466827,-1.000000,0.000121,2.704455,1995.830323,32836.458713
35,9.429090,-1.000000,0.000124,2.685369,1993.893052,32868.362691
36,9.386925,-1.000000,0.000128,2.656146,1999.673226,32773.354740
37,9.317880,-1.000000,0.000131,2.678653,2000.461469,32760.441036
38,9.232030,-1.000000,0.000134,2.696035,2002.265033,32730.931680
39,9.172720,-1.000000,0.000138,2.718826,2000.342870,32762.383381
40,9.141635,-1.000000,0.000141,2.704067,2002.748319,32723.033333
41,9.107870,-1.000000,0.000145,2.678259,2000.686085,32756.763038
42,9.010858,-1.000000,0.000148,2.722633,2001.415768,32744.820466
43,8.976118,-1.000000,0.000152,2.678392,2000.395869,32761.515366
44,8.937862,-1.000000,0.000155,2.617298,2056.234483,31871.851456
45,8.829684,-1.000000,0.000159,2.663060,2069.055908,31674.349517
46,8.900420,-1.000000,0.000162,2.593697,2077.834610,31540.527665
47,8.811657,-1.000000,0.000166,2.568126,2068.077697,31689.331641
48,8.695078,-1.000000,0.000169,2.588354,2065.450029,31729.646847
49,8.799166,-1.000000,0.000172,2.495726,2075.331425,31578.570637
50,8.570808,-1.000000,0.000176,2.583992,2118.428985,30936.132608
51,8.469427,-1.000000,0.000179,2.610094,2067.189511,31702.947239
52,8.492135,-1.000000,0.000183,2.471816,2057.357866,31854.448408
53,8.468336,-1.000000,0.000186,2.510581,2063.621661,31757.759302
54,8.374326,-1.000000,0.000190,2.469830,2062.501963,31775.000061
55,8.357862,-1.000000,0.000193,2.440399,2061.659117,31787.990294
56,8.289930,-1.000000,0.000197,2.428615,2069.149689,31672.913926
57,8.261676,-1.000000,0.000200,2.411078,2067.722811,31694.770523
58,8.188870,-1.000000,0.000203,2.443377,2069.247223,31671.421023
59,8.255443,-1.000000,0.000207,2.354865,2060.937203,31799.125128
60,8.090654,-1.000000,0.000210,2.409412,2064.151318,31749.610326
61,8.007467,-1.000000,0.000214,2.361032,2063.093144,31765.894909
62,7.990644,-1.000000,0.000217,2.294953,2062.487260,31775.226578
63,8.061325,-1.000000,0.000221,2.220261,2055.309517,31886.194978
64,7.947678,-1.000000,0.000224,2.346570,2065.991618,31721.329084
65,7.933243,-1.000000,0.000228,2.206508,2062.177594,31779.998091
66,7.810509,-1.000000,0.000231,2.087023,2098.540125,31229.329008
67,7.792886,-1.000000,0.000234,2.095352,2087.453571,31395.189292
68,7.815580,-1.000000,0.000238,2.116208,2055.895922,31877.100051
69,7.756747,-1.000000,0.000241,2.146736,2028.853801,32301.982512
70,7.701390,-1.000000,0.000245,1.959194,2030.360591,32278.010266
71,7.632192,-1.000000,0.000248,1.824711,2027.906173,32317.077029
72,7.581821,-1.000000,0.000252,1.821626,2072.131611,31627.334698
73,7.626418,-1.000000,0.000255,2.055775,2066.792695,31709.034079
74,7.641446,-1.000000,0.000259,2.135107,2171.510587,30179.912726
75,7.608761,-1.000000,0.000262,1.994682,2150.164448,30479.529164
76,7.504971,-1.000000,0.000266,1.971521,2157.898737,30370.285165
77,7.524779,-1.000000,0.000269,1.683989,2121.333305,30893.777911
78,7.493370,-1.000000,0.000272,1.408929,2141.113377,30608.374458
79,7.545906,-1.000000,0.000276,1.197127,2007.127379,32651.639694
80,7.567630,-1.000000,0.000279,1.285881,2003.411215,32712.205816
81,7.527658,-1.000000,0.000283,1.404145,2005.058967,32685.323015
82,7.529909,-1.000000,0.000286,1.338635,2006.597921,32660.255108
83,7.467395,-1.000000,0.000290,1.343278,2001.228660,32747.881994
84,7.517777,-1.000000,0.000293,1.457002,2124.824408,30843.019194
85,7.398146,-1.000000,0.000297,1.578508,2136.340103,30676.763455
86,7.557064,-1.000000,0.000300,1.572036,2093.770050,31300.476382
87,7.353858,-1.000000,0.000303,1.605285,2074.427861,31592.325398
88,7.392042,-1.000000,0.000307,1.719049,2070.557553,31651.378106
