step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
0,10.871335,10.870970,0.000001,2.276004,11373.533607,5762.149413
1,10.863696,-1.000000,0.000002,3.323126,3852.175927,17012.722483
2,10.857999,-1.000000,0.000003,3.463929,3857.695686,16988.379938
3,10.847270,-1.000000,0.000004,3.295818,3854.377706,17003.004116
4,10.836646,-1.000000,0.000004,3.298743,3846.174225,17039.269717
5,10.812343,-1.000000,0.000005,3.371184,3853.570563,17006.565451
6,10.787408,-1.000000,0.000006,3.300505,3853.130901,17008.505987
7,10.759729,-1.000000,0.000007,3.238073,3859.084687,16982.265308
8,10.738948,-1.000000,0.000008,3.175623,3978.371993,16473.069918
9,10.697881,-1.000000,0.000009,3.210555,3953.085942,16578.440480
10,10.668527,-1.000000,0.000010,3.175386,3937.363089,16644.642244
11,10.659615,-1.000000,0.000011,2.962492,4098.467378,15990.367607
12,10.586504,-1.000000,0.000012,3.134477,4028.578657,16267.772229
13,10.544521,-1.000000,0.000012,3.140337,4219.558426,15531.483009
14,10.504969,-1.000000,0.000013,3.108889,4009.572554,16344.884428
15,10.496090,-1.000000,0.000014,2.937659,4169.632999,15717.450436
16,10.458307,-1.000000,0.000015,2.900878,4044.214033,16204.879234
17,10.413719,-1.000000,0.000016,2.931426,3956.711260,16563.250562
18,10.367985,-1.000000,0.000017,2.918260,3935.397082,16652.957411
19,10.349469,-1.000000,0.000018,2.852587,4064.065116,16125.725875
20,10.321333,-1.000000,0.000019,2.815511,4062.367713,16132.463782
21,10.281487,-1.000000,0.000019,2.816090,3885.006018,16868.957138
22,10.275771,-1.000000,0.000020,2.750268,3986.815063,16438.184105
23,10.267576,-1.000000,0.000021,2.664526,3861.337038,16972.359407
24,10.224841,-1.000000,0.000022,2.702860,3835.983375,17084.537026
25,10.170525,-1.000000,0.000023,2.833422,3989.833093,16425.749768
26,10.191963,-1.000000,0.000024,2.666625,4045.143716,16201.154916
27,10.141108,-1.000000,0.000025,2.749887,3844.281155,17047.660501
28,10.123327,-1.000000,0.000026,2.743732,3853.240589,17008.021816
29,10.126066,-1.000000,0.000027,2.687307,3847.902127,17031.618226
30,10.080743,-1.000000,0.000027,2.789338,3883.493645,16875.526521
31,10.117659,-1.000000,0.000028,2.636509,3917.812521,16727.701912
32,10.084435,-1.000000,0.000029,2.680446,3938.101916,16641.519544
33,10.062083,-1.000000,0.000030,2.706898,4046.174671,16197.026903
34,10.046629,-1.000000,0.000031,2.713143,3964.057991,16532.553295
35,10.046186,-1.000000,0.000032,2.694999,4001.240811,16378.919214
36,10.036203,-1.000000,0.000033,2.670564,3969.847764,16508.441607
37,10.004128,-1.000000,0.000034,2.694299,4023.723137,16287.402927
38,9.979101,-1.000000,0.000035,2.723407,3940.608199,16630.935300
39,9.952968,-1.000000,0.000035,2.746990,3896.617458,16818.689724
40,9.939026,-1.000000,0.000036,2.737300,3898.784629,16809.340919
41,9.938106,-1.000000,0.000037,2.724726,3907.710514,16770.945485
42,9.888440,-1.000000,0.000038,2.768780,3914.891354,16740.183590
43,9.889777,-1.000000,0.000039,2.749529,3912.993058,16748.304694
44,9.888886,-1.000000,0.000040,2.681420,3896.492481,16819.229171
45,9.837887,-1.000000,0.000041,2.747374,3899.885990,16804.593818
46,9.872522,-1.000000,0.000042,2.688008,3907.557059,16771.604102
47,9.837641,-1.000000,0.000043,2.677612,3900.116607,16803.600149
48,9.789542,-1.000000,0.000043,2.721655,3914.818812,16740.493787
49,9.842046,-1.000000,0.000044,2.648827,3903.383208,16789.537821
50,9.725944,-1.000000,0.000045,2.740257,3904.217093,16785.951815
51,9.690079,-1.000000,0.000046,2.783729,3902.913474,16791.558521
52,9.712798,-1.000000,0.000047,2.649289,3897.198630,16816.181627
53,9.680328,-1.000000,0.000048,2.710982,3899.789824,16805.008208
54,9.647771,-1.000000,0.000049,2.690283,3912.724012,16749.456338
55,9.640147,-1.000000,0.000050,2.648300,3895.696045,16822.667694
56,9.616035,-1.000000,0.000051,2.651456,3957.319609,16560.704334
57,9.596375,-1.000000,0.000051,2.669286,3930.618759,16673.201859
58,9.554037,-1.000000,0.000052,2.694036,3926.117701,16692.316683
59,9.571833,-1.000000,0.000053,2.582048,3915.628348,16737.032776
60,9.493664,-1.000000,0.000054,2.645488,4014.032200,16326.725032
61,9.462084,-1.000000,0.000055,2.661850,3907.298092,16772.715687
62,9.457920,-1.000000,0.000056,2.637244,3952.605019,16580.457618
63,9.467379,-1.000000,0.000057,2.551354,3893.824281,16830.754361
64,9.398098,-1.000000,0.000058,2.626499,3834.870965,17089.492866
65,9.404018,-1.000000,0.000058,2.586319,3836.337957,17082.957950
66,9.345676,-1.000000,0.000059,2.611387,3833.657728,17094.901175
67,9.298513,-1.000000,0.000060,2.661728,3832.863561,17098.443228
68,9.308282,-1.000000,0.000061,2.580027,3837.010305,17079.964553
69,9.266262,-1.000000,0.000062,2.604117,3833.218914,17096.858142
70,9.284119,-1.000000,0.000063,2.560288,3833.311743,17096.444118
71,9.213882,-1.000000,0.000064,2.629419,3836.871454,17080.582653
72,9.175507,-1.000000,0.000065,2.594131,3834.450793,17091.365501
73,9.167788,-1.000000,0.000066,2.599525,3831.689261,17103.683398
74,9.156705,-1.000000,0.000066,2.594244,3835.863025,17085.073052
75,9.099419,-1.000000,0.000067,2.624025,3835.608758,17086.205642
76,9.076780,-1.000000,0.000068,2.647909,3833.419865,17095.961911
77,9.071635,-1.000000,0.000069,2.587762,3836.795640,17080.920161
78,9.037927,-1.000000,0.000070,2.611617,3833.018525,17097.751960
79,9.023985,-1.000000,0.000071,2.577007,3832.219347,17101.317557
80,9.000391,-1.000000,0.000072,2.581756,3835.734250,17085.646640
81,8.945364,-1.000000,0.000073,2.661341,3839.011390,17071.061620
82,8.930037,-1.000000,0.000074,2.629826,3946.551123,16605.891564
83,8.883600,-1.000000,0.000074,2.616795,3897.671299,16814.142336
84,8.883179,-1.000000,0.000075,2.575583,3964.222659,16531.866557
85,8.821028,-1.000000,0.000076,2.564435,4003.842363,16368.276785
86,8.865091,-1.000000,0.000077,2.531277,3954.480261,16572.595050
87,8.748738,-1.000000,0.000078,2.637043,3972.010826,16499.451505
88,8.746285,-1.000000,0.000079,2.524091,3889.562445,16849.196003
89,8.774700,-1.000000,0.000080,2.469328,3905.748203,16779.371479
90,8.672211,-1.000000,0.000081,2.577673,3892.046503,16838.442179
91,8.698368,-1.000000,0.000082,2.618020,3914.991127,16739.756969
92,8.659962,-1.000000,0.000082,2.569124,4019.854245,16303.078670
93,8.590569,-1.000000,0.000083,2.539161,3899.775274,16805.070907
94,8.535009,-1.000000,0.000084,2.593291,3833.265343,17096.651063
95,8.588706,-1.000000,0.000085,2.595953,3848.213663,17030.239415
96,8.544949,-1.000000,0.000086,2.605049,3979.461248,16468.560922
97,8.480160,-1.000000,0.000087,2.584553,4022.687674,16291.595399
98,8.461711,-1.000000,0.000088,2.507423,3945.456359,16610.499277
99,8.467072,-1.000000,0.000089,2.480191,4008.146996,16350.697733
100,8.481075,8.429367,0.000090,2.524411,11255.121137,5822.771626
101,8.437984,-1.000000,0.000090,2.583781,3897.601530,16814.443317
102,8.468480,-1.000000,0.000091,2.522626,3900.240167,16803.067810
103,8.425843,-1.000000,0.000092,2.456509,4004.461040,16365.747936
104,8.305474,-1.000000,0.000093,2.453508,3876.960652,16903.963151
105,8.295956,-1.000000,0.000094,2.473516,3894.180237,16829.215910
106,8.267048,-1.000000,0.000095,2.441799,3852.432287,17011.590371
107,8.256846,-1.000000,0.000096,2.476950,3845.571053,17041.942301
108,8.292620,-1.000000,0.000097,2.471872,3843.810961,17049.745855
109,8.240637,-1.000000,0.000097,2.460645,3839.017540,17071.034273
110,8.285473,-1.000000,0.000098,2.312421,3835.334689,17087.426604
111,8.190046,-1.000000,0.000099,2.346376,3839.787698,17067.610283
112,8.155492,-1.000000,0.000100,2.345501,3914.801470,16740.567945
113,8.023670,-1.000000,0.000101,2.453004,3837.630027,17077.206385
114,7.984272,-1.000000,0.000102,2.493184,3882.628871,16879.285190
115,8.040186,-1.000000,0.000103,2.399216,3853.375174,17007.427785
116,7.990371,-1.000000,0.000104,2.366836,3838.253920,17074.430553
117,8.031810,-1.000000,0.000105,2.300138,3863.687824,16962.032904
118,7.834363,-1.000000,0.000105,2.375887,3862.858952,16965.672528
119,7.823592,-1.000000,0.000106,2.362510,3860.857529,16974.467332
