step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec, timer_data, timer_fwd, timer_loss, timer_bwd, timer_clip, timer_optim, timer_tok_emb, timer_pos_emb, timer_attn, timer_mlp, timer_ln_f, timer_lm_head
0,10.884072,10.885666,0.000001,1.629778,4939.537598,13267.638661,0.142176,1068.438858,42.351167,757.069473,69.393021,4.642112,3.199552,4.071904,634.935163,147.184671,2.893600,270.177029
1,10.879219,-1.000000,0.000003,2.650009,2011.161255,32586.148844,0.707424,1068.718140,42.522976,758.898331,69.352448,4.029120,2.294304,2.949408,640.100412,145.757408,3.092576,269.030533
2,10.868533,-1.000000,0.000004,2.742452,2007.473999,32646.001907,0.131968,1064.800659,40.924641,760.824226,70.434242,3.619744,2.275360,2.946560,639.375683,145.613088,2.898304,267.297981
3,10.868505,-1.000000,0.000005,2.639188,2018.393188,32469.392175,0.132384,1065.618118,42.442400,769.229248,70.487518,3.606016,2.302432,2.962112,637.110500,146.429215,2.917024,268.558983
4,10.860502,-1.000000,0.000007,2.642741,2016.483032,32500.149494,0.144480,1066.853058,41.360833,767.056030,71.021950,3.615872,2.297088,2.959936,635.790594,146.916768,4.099808,269.122620
5,10.839018,-1.000000,0.000008,2.692680,2020.565674,32434.481516,0.132832,1070.009399,43.637473,764.014977,71.927582,3.941536,2.731008,3.715904,639.828260,144.245345,2.912224,270.822430
6,10.819031,-1.000000,0.000009,2.655426,2019.891235,32445.311338,0.133248,1069.397049,40.519200,769.041924,69.778717,3.617088,2.303904,3.152672,640.243647,145.348224,2.915264,270.270267
7,10.796021,-1.000000,0.000010,2.626583,2009.851074,32607.391085,0.134208,1062.676941,40.823040,764.354942,70.460350,3.624288,2.297856,2.956512,636.937601,142.960128,2.909696,270.021568
8,10.780733,-1.000000,0.000012,2.587743,2024.208984,32376.103706,0.134560,1070.726135,40.626368,768.411934,71.013023,3.875616,2.296384,2.964896,637.554211,146.107264,3.437344,272.703457
9,10.745036,-1.000000,0.000013,2.631200,2012.804443,32559.546565,0.132256,1065.531769,40.163455,765.851433,70.581726,3.612064,2.292448,2.955840,638.082685,144.372064,2.914048,270.224899
10,10.719881,-1.000000,0.000014,2.625401,2011.604370,32578.970783,0.129696,1066.439087,40.216096,763.594910,70.397858,3.615200,2.295648,3.128192,636.254047,146.395679,2.916416,270.989914
11,10.714834,-1.000000,0.000016,2.483096,2016.573364,32498.693656,0.135648,1068.452957,42.503328,764.259590,70.935806,3.612800,2.495392,2.968800,640.207230,145.005503,2.917536,270.301224
12,10.653704,-1.000000,0.000017,2.645956,2013.569946,32547.168337,0.134880,1065.506439,41.959232,765.945168,68.826782,4.611232,2.296608,2.959456,636.698944,145.393439,3.541120,270.009953
13,10.609970,-1.000000,0.000018,2.681489,2013.309814,32551.373628,0.662240,1064.912323,41.697984,764.477509,70.812126,3.613792,2.300320,2.963264,636.262976,145.752159,2.918816,270.073284
14,10.573857,-1.000000,0.000020,2.689283,2023.143066,32393.161457,0.952256,1072.723846,42.592319,765.008705,70.540092,4.043936,2.555008,2.962272,639.665537,146.621377,3.310240,272.539459
15,10.557408,-1.000000,0.000021,2.581867,2015.567749,32514.908036,1.247872,1065.514725,42.323648,762.244102,71.499809,3.880896,2.306592,2.964256,633.060734,147.838079,3.182688,270.400093
16,10.519832,-1.000000,0.000022,2.587530,2018.984497,32459.882726,0.142944,1067.999542,41.540992,767.998459,70.545219,3.625760,2.309344,2.965056,635.581028,148.628864,2.916160,270.139202
17,10.475336,-1.000000,0.000024,2.642502,2021.743042,32415.593198,0.128096,1070.591019,40.433920,768.793633,70.727234,3.796064,2.307712,2.971040,639.646334,145.593729,2.927808,272.557503
18,10.428610,-1.000000,0.000025,2.668902,2019.487915,32451.791126,0.129728,1067.796600,41.441472,768.629593,71.055809,3.619744,2.487168,2.977856,639.036577,144.569952,3.066400,271.221542
19,10.408126,-1.000000,0.000026,2.646658,2023.890991,32381.190630,0.140576,1071.383286,41.606784,769.330696,70.707649,3.615936,2.306400,2.967872,638.256031,147.183329,3.915232,271.121601
20,10.369511,-1.000000,0.000028,2.635547,2017.870483,32477.802981,0.132416,1064.988541,40.868288,770.102531,71.532608,3.611232,2.313280,2.970336,637.376675,143.022784,2.934720,270.312675
21,10.326514,-1.000000,0.000029,2.668431,2022.334106,32406.119143,0.131264,1069.636902,41.424768,768.340706,71.543198,4.032096,2.311520,3.269280,637.786430,146.104705,2.934816,271.563965
22,10.311908,-1.000000,0.000030,2.625952,2024.016113,32379.188866,0.138048,1072.408783,41.450784,767.920998,71.643394,3.613664,2.742464,2.971456,637.285765,147.402304,3.366752,273.888645
23,10.295074,-1.000000,0.000031,2.563387,2020.845947,32429.983141,0.135584,1069.781326,41.168767,767.115654,70.551842,3.618528,2.308192,2.985056,633.096098,150.369888,3.593504,271.270496
24,10.243347,-1.000000,0.000033,2.613710,2025.901611,32349.053692,0.132512,1072.320175,41.413952,771.081535,70.860001,3.610624,2.310240,4.094176,637.401794,147.909342,3.490688,271.602753
25,10.191963,-1.000000,0.000034,2.750618,2022.838623,32398.036726,0.136992,1071.113342,41.414048,768.503738,70.632355,4.127936,2.297056,3.120608,637.294876,148.452159,3.127488,272.138111
26,10.195594,-1.000000,0.000035,2.603563,2018.760742,32463.480506,0.134240,1065.761505,40.673695,768.739517,71.771072,3.933856,2.307488,2.971616,632.388128,149.339616,2.927968,270.485058
27,10.144547,-1.000000,0.000037,2.697163,2021.904419,32413.005969,0.384544,1068.936584,40.514463,770.296516,71.181313,3.611296,2.313472,2.978048,638.243996,146.753505,3.132416,270.523579
28,10.111179,-1.000000,0.000038,2.693418,2017.592041,32482.285154,0.132064,1067.735794,41.116384,766.296928,71.373314,3.605536,2.311328,2.972768,637.766943,145.725473,2.927680,271.600639
29,10.104572,-1.000000,0.000039,2.640287,2018.508179,32467.542461,0.136736,1068.597733,41.004512,767.876411,70.824226,3.614624,2.599808,3.186880,638.812195,144.103329,2.932288,272.071648
30,10.053331,-1.000000,0.000041,2.742503,2019.768066,32447.289909,0.131840,1068.967468,40.674016,768.407387,71.125694,3.632896,2.299232,3.169472,637.287264,147.911104,2.926816,270.866051
31,10.080966,-1.000000,0.000042,2.599027,2016.750000,32495.847279,0.705120,1066.801788,43.729440,763.816055,71.489090,3.608128,2.305952,2.970464,635.763174,146.391327,3.126048,271.281635
32,10.041440,-1.000000,0.000043,2.649432,2027.729004,32319.900674,0.539456,1070.829483,42.819008,771.502785,70.572258,3.611040,2.738880,3.323744,635.669600,147.978848,2.934048,271.731167
33,10.008833,-1.000000,0.000045,2.673162,2016.447144,32500.727931,0.144544,1069.954773,40.253344,765.541763,70.271744,3.795232,2.307104,2.975360,639.187227,145.394847,2.957408,272.668934
34,9.986998,-1.000000,0.000046,2.682526,2019.052246,32458.793539,0.135008,1070.410507,40.698528,765.347824,71.615997,3.617696,2.305184,2.984352,641.329407,143.723008,2.938336,272.678112
35,9.980021,-1.000000,0.000047,2.667266,2021.092773,32426.022626,0.282816,1072.585144,42.000192,765.631424,70.273216,3.613152,2.585920,3.486816,635.511267,150.082209,2.946560,273.166145
36,9.962963,-1.000000,0.000048,2.643933,2017.783691,32479.199965,0.131040,1068.271729,40.842335,767.341141,70.343552,3.612384,2.305248,2.969824,634.286243,148.205407,3.392672,272.006809
37,9.922569,-1.000000,0.000050,2.671508,2020.296997,32438.794937,0.132160,1069.090576,40.965696,768.691261,70.192192,3.607872,2.311520,3.520992,638.436571,144.018720,2.938336,272.496803
38,9.887366,-1.000000,0.000051,2.697752,2016.080078,32506.645302,0.128224,1067.637909,40.750848,766.591652,70.283424,3.848224,2.294752,2.970176,635.210691,147.255041,2.934752,272.530334
39,9.855800,-1.000000,0.000052,2.725095,2014.257812,32536.053525,0.137248,1068.601105,39.893696,764.790916,70.467171,3.613184,2.295520,2.964800,636.377659,146.311488,2.929248,271.633663
40,9.836363,-1.000000,0.000054,2.715719,2027.673462,32320.785980,0.131936,1070.666183,41.532864,774.330551,70.458557,3.843968,2.308032,2.973952,633.945852,149.149279,2.937312,273.175869
41,9.829223,-1.000000,0.000055,2.703163,2018.836792,32462.257603,0.662112,1067.641342,41.278592,767.309341,71.061790,3.615680,2.308704,3.113344,639.570623,143.088768,2.931616,271.009571
42,9.770675,-1.000000,0.000056,2.749962,2021.174194,32424.716377,0.659456,1067.282700,41.115456,770.321693,70.783836,3.608544,2.305664,2.968384,640.498079,144.661311,2.936288,268.996128
43,9.766829,-1.000000,0.000058,2.728883,2027.869507,32317.661358,0.132768,1072.957993,42.291777,768.571800,70.695038,3.852320,2.304128,3.165440,640.272354,146.357279,2.929088,271.803398
44,9.757542,-1.000000,0.000059,2.666295,2018.182617,32472.779937,0.129728,1065.005142,41.332128,770.514328,70.509628,3.608800,2.496736,2.974208,636.535042,143.549313,2.932192,271.321251
45,9.698243,-1.000000,0.000060,2.731664,2029.163452,32297.053217,0.134528,1073.536041,40.299712,773.564934,71.656288,3.608000,2.301984,3.175520,640.856131,145.684160,3.156160,272.850784
46,9.732824,-1.000000,0.000062,2.671238,2020.894165,32429.209374,0.133600,1069.856750,41.571456,767.328316,71.536835,3.609984,2.491712,2.984928,639.658367,145.970112,3.123296,270.593697
47,9.688627,-1.000000,0.000063,2.662755,2021.160889,32424.929835,0.562912,1072.008301,41.508352,765.639931,68.923615,4.735712,2.842304,3.608032,633.435265,148.334368,3.215072,274.578178
48,9.629398,-1.000000,0.000064,2.704091,2031.556396,32259.010930,0.136960,1074.365555,40.754464,775.031418,69.851967,3.640384,2.301504,3.173344,638.968384,145.202688,2.934144,276.758236
49,9.684859,-1.000000,0.000066,2.637134,2022.934326,32396.504005,0.131424,1069.456940,42.546016,768.161674,72.008324,3.925824,2.299392,3.354400,636.720541,146.548414,2.937344,272.422749
50,9.552707,-1.000000,0.000067,2.730217,2033.888794,32222.017347,1.324800,1072.259796,40.068736,775.933273,71.802078,3.611680,2.732800,3.437088,639.611584,145.668096,2.938528,271.949924
51,9.502314,-1.000000,0.000068,2.775087,2026.786255,32334.934107,0.132064,1070.346329,41.284352,772.522942,72.366623,3.600352,2.672704,3.207040,633.632996,148.759295,2.945088,272.567169
52,9.522691,-1.000000,0.000069,2.638887,2027.002197,32331.489373,0.134432,1070.196472,40.450529,773.947067,71.987198,3.605792,2.312256,2.978976,639.886913,145.403520,3.143008,271.149952
53,9.490959,-1.000000,0.000071,2.702614,2032.010010,32251.809629,0.893184,1075.346893,41.875840,770.725990,72.343102,3.607264,2.511872,2.990560,638.254023,147.847489,3.083264,274.676224
54,9.445909,-1.000000,0.000072,2.685536,2023.876709,32381.419139,0.655296,1070.907120,41.090240,769.505272,71.032158,3.854976,2.310144,2.981216,637.145376,146.655520,2.941344,274.106461
55,9.431844,-1.000000,0.000073,2.645256,2027.126587,32329.505431,0.252960,1071.853882,42.582464,769.655319,71.266335,4.231296,2.450688,4.240032,636.859682,146.466048,3.696544,273.269852
56,9.398210,-1.000000,0.000075,2.650156,2029.373413,32293.711733,0.143808,1071.917633,40.917952,773.572411,72.035423,3.792736,2.759296,2.983136,636.653889,146.430049,2.947200,275.198082
57,9.373986,-1.000000,0.000076,2.671731,2026.610352,32337.740676,0.133984,1073.436264,40.381344,771.044456,70.946335,3.608288,2.313984,2.979488,641.125120,145.642497,2.940544,273.666687
58,9.320216,-1.000000,0.000077,2.700261,2029.316895,32294.611146,0.156352,1071.971451,40.832288,772.250710,71.390045,3.622880,2.324800,2.982048,637.803581,146.696128,2.940928,273.231483
59,9.340591,-1.000000,0.000079,2.588632,2027.286987,32326.947497,0.134176,1073.972900,41.051328,769.858879,71.102692,3.610272,2.604672,2.983104,641.204832,145.644512,3.251648,272.967072
60,9.247748,-1.000000,0.000080,2.658673,2021.938599,32412.458046,0.134336,1071.193314,40.457983,768.116669,71.054176,3.612544,3.614208,3.431552,634.446819,148.133183,2.942880,273.366112
61,9.201699,-1.000000,0.000081,2.676071,2031.165771,32265.214844,0.138752,1074.056747,40.749920,775.275681,70.525185,3.614176,2.317568,2.988992,639.275198,146.886721,2.941376,274.919456
62,9.187609,-1.000000,0.000083,2.653631,2024.336304,32374.067431,1.093664,1069.876572,41.710464,768.072250,71.789665,3.859360,2.543392,2.980288,637.996672,146.213375,3.180544,271.650307
63,9.196234,-1.000000,0.000084,2.570233,2020.385254,32437.377908,0.131776,1064.668320,40.120736,772.534569,71.313148,3.608896,2.322368,2.984736,638.152191,142.020864,2.940704,271.087898
64,9.115642,-1.000000,0.000085,2.647461,2029.050903,32298.844693,0.134560,1070.762787,40.101057,775.191895,72.689949,3.610240,2.454528,2.989280,638.203812,146.153921,3.133216,272.853882
65,9.114886,-1.000000,0.000086,2.603268,2023.564087,32386.421771,0.140032,1070.939133,40.870816,769.405373,71.773117,3.615680,2.309856,3.997984,633.818401,148.979041,2.939584,273.399807
66,9.042346,-1.000000,0.000088,2.626606,2029.975220,32284.137936,0.136224,1073.871201,40.322080,772.349724,73.015358,3.927392,2.324800,2.984320,639.745634,147.147136,2.949888,274.017185
67,8.993694,-1.000000,0.000089,2.680176,2024.107300,32377.730176,0.132288,1070.518951,41.409984,769.746849,72.063263,3.617312,3.142432,4.175904,634.584551,145.995040,3.172064,274.085217
68,8.990408,-1.000000,0.000090,2.585002,2024.398804,32373.067935,0.130880,1070.731247,40.692608,769.862495,71.957184,3.616832,2.310912,2.984480,637.339109,145.909345,2.937728,274.285858
69,8.941429,-1.000000,0.000092,2.600521,2028.732788,32303.909310,0.134304,1074.431046,40.608897,772.172829,70.697693,4.197536,2.460672,2.986080,638.366726,148.321472,2.939488,274.463333
