step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec,timer_data,timer_fwd,timer_loss,timer_bwd,timer_clip,timer_optim,timer_tok_emb,timer_pos_emb,timer_attn,timer_mlp,timer_ln_f,timer_lm_head
0,10.919723,10.922124,0.00000345,2.735368,4614.77,14201.36,1.38,682.73,170.68,1401.45,27.14,33.39,0.96,0.24,192.14,117.30,0.85,356.84
1,10.907793,-1.000000,0.00000690,2.829768,2239.83,29259.38,5.14,678.95,163.51,1379.37,3.05,7.08,0.92,0.26,194.27,119.77,0.80,351.43
2,10.882527,-1.000000,0.00001034,3.035283,2237.26,29292.92,3.72,679.01,168.75,1375.60,1.79,5.61,1.01,0.23,191.87,121.33,0.85,354.10
3,10.852448,-1.000000,0.00001379,2.840286,2220.61,29512.57,2.31,679.58,165.72,1361.95,2.02,6.47,0.89,0.21,193.78,120.08,0.86,351.86
4,10.810108,-1.000000,0.00001724,2.772510,2225.65,29445.80,3.54,674.38,167.56,1370.99,1.90,5.60,1.06,0.19,192.55,120.99,0.89,349.98
5,10.758424,-1.000000,0.00002069,2.800052,2233.32,29344.71,1.77,682.83,164.79,1372.99,2.93,5.57,0.93,0.24,195.24,121.48,0.87,353.81
6,10.700519,-1.000000,0.00002414,2.664138,2245.30,29188.11,1.91,682.38,166.99,1382.32,2.13,6.35,0.94,0.23,193.61,122.19,0.88,352.70
7,10.638732,-1.000000,0.00002759,2.523718,2236.27,29306.00,2.21,681.43,164.43,1379.39,1.92,5.61,0.94,0.22,192.04,124.53,0.86,352.68
8,10.578438,-1.000000,0.00003103,2.376558,2245.79,29181.65,2.02,682.58,174.01,1376.67,1.78,5.59,0.86,0.22,192.30,124.33,0.73,352.64
9,10.490727,-1.000000,0.00003448,2.298877,2258.16,29021.84,2.16,684.11,175.87,1385.65,1.85,5.61,0.93,0.20,191.89,123.05,0.83,355.94
10,10.426799,-1.000000,0.00003793,2.145162,2258.00,29023.90,3.25,686.07,169.35,1388.97,1.78,5.60,0.82,0.21,194.32,119.50,0.79,355.98
11,10.407434,-1.000000,0.00004138,1.890676,2295.00,28555.94,2.95,706.25,169.72,1403.72,1.94,5.63,0.78,0.18,198.92,123.93,0.83,368.71
12,10.303778,-1.000000,0.00004483,1.964443,2324.23,28196.87,4.00,702.61,177.76,1426.80,1.99,5.62,0.77,0.19,197.24,118.89,0.79,358.36
13,10.232629,-1.000000,0.00004828,1.911340,2266.41,28916.16,2.60,695.75,168.93,1388.73,1.99,6.30,1.04,0.21,195.34,122.33,0.74,361.74
14,10.175103,-1.000000,0.00005172,1.871426,2297.43,28525.75,3.24,692.53,178.41,1410.77,3.07,7.09,0.88,0.42,196.38,120.12,0.81,361.73
15,10.177346,-1.000000,0.00005517,1.700855,2268.63,28887.97,1.97,695.62,170.97,1388.13,1.94,5.63,1.99,0.19,195.58,122.86,0.83,361.76
16,10.129576,-1.000000,0.00005862,1.679885,2268.16,28893.94,1.11,693.44,169.75,1393.19,2.07,6.39,0.95,0.24,192.40,124.02,0.78,365.11
17,10.072130,-1.000000,0.00006207,1.738718,2269.87,28872.15,2.65,692.99,169.16,1392.97,2.26,6.00,1.00,0.28,194.92,123.64,0.82,362.85
18,10.018567,-1.000000,0.00006552,1.756854,2264.46,28941.09,2.66,692.14,175.15,1383.29,1.88,6.16,0.91,0.24,194.20,120.74,0.79,359.73
19,10.008401,-1.000000,0.00006897,1.723504,2322.24,28220.99,3.13,703.01,171.98,1432.73,2.42,6.34,2.12,0.23,197.07,118.76,0.79,366.62
20,9.973885,-1.000000,0.00007241,1.710800,2326.14,28173.74,2.44,701.42,169.05,1442.42,1.91,5.60,1.06,1.77,195.92,122.49,0.75,363.51
21,9.921814,-1.000000,0.00007586,1.753215,2285.89,28669.78,2.37,696.13,173.20,1401.77,1.84,6.32,0.86,0.21,193.69,124.09,0.89,365.32
22,9.908603,-1.000000,0.00007931,1.713834,2297.12,28529.69,3.61,697.95,172.06,1409.25,3.35,7.51,0.83,0.58,194.36,123.93,0.87,365.71
23,9.900013,-1.000000,0.00008276,1.653318,2351.31,27872.15,3.57,708.00,181.31,1446.21,2.14,6.97,1.17,0.21,195.55,122.80,0.78,374.88
24,9.841823,-1.000000,0.00008621,1.707216,2339.15,28016.96,2.80,700.43,178.80,1445.44,1.89,6.04,0.86,0.22,195.36,122.21,0.79,370.35
25,9.769356,-1.000000,0.00008966,1.857735,2308.50,28388.95,3.40,702.08,174.57,1417.95,2.00,6.04,1.02,0.20,196.42,122.80,0.83,368.88
26,9.758821,-1.000000,0.00009310,1.707757,2304.81,28434.45,2.21,694.53,179.51,1416.78,2.64,6.47,0.90,0.25,196.74,120.24,0.75,362.68
27,9.715792,-1.000000,0.00009655,1.800438,2318.29,28269.15,2.94,699.15,179.71,1424.57,2.69,6.26,0.97,0.25,192.90,123.71,0.83,366.39
28,9.657382,-1.000000,0.00010000,1.784686,2329.76,28129.94,1.69,705.33,177.70,1432.83,2.13,7.60,0.93,0.24,197.44,121.78,0.76,370.83
29,9.625172,-1.000000,0.00010345,1.716516,2323.90,28200.81,2.31,700.71,177.44,1433.37,1.87,5.60,0.90,0.22,194.83,122.14,0.79,367.11
30,9.538604,-1.000000,0.00010690,1.825847,2340.30,28003.23,4.37,706.63,177.27,1439.71,1.89,6.93,0.84,0.64,193.91,124.59,0.77,373.92
31,9.561535,-1.000000,0.00011034,1.655733,2345.42,27942.14,2.23,703.20,181.25,1446.64,1.84,5.94,1.22,0.22,195.47,122.01,0.79,370.85
32,9.485967,-1.000000,0.00011379,1.692000,2342.16,27980.96,2.02,716.45,175.68,1437.87,2.11,6.24,1.16,0.23,197.69,124.12,0.78,377.56
33,9.411216,-1.000000,0.00011724,1.703664,2326.56,28168.65,2.68,702.99,180.75,1429.80,1.89,5.91,0.68,0.21,192.75,124.43,0.77,369.83
34,9.367445,-1.000000,0.00012069,1.702625,2304.53,28437.90,3.35,697.47,173.16,1420.29,1.89,5.60,0.80,0.21,193.53,122.76,0.77,367.83
35,9.336129,-1.000000,0.00012414,1.673801,2321.24,28233.23,2.29,704.14,173.63,1428.93,3.20,6.07,0.88,0.23,194.65,122.62,0.78,373.19
36,9.289005,-1.000000,0.00012759,1.630300,2344.14,27957.36,1.93,709.24,180.87,1441.41,2.14,6.49,0.86,0.45,193.78,123.07,0.76,377.12
37,9.222248,-1.000000,0.00013103,1.642661,2357.86,27794.66,2.53,708.73,179.57,1456.50,1.78,5.60,0.91,0.38,193.22,121.36,0.74,376.01
38,9.139950,-1.000000,0.00013448,1.648202,2298.07,28517.88,2.88,702.16,172.09,1410.55,1.96,5.62,0.90,0.23,195.18,122.90,0.81,373.16
39,9.082409,-1.000000,0.00013793,1.668089,2299.39,28501.52,2.59,702.91,171.15,1410.79,2.15,6.49,0.93,0.25,194.52,123.00,0.83,373.28
40,9.050691,-1.000000,0.00014138,1.626342,2320.19,28246.00,1.35,697.98,175.90,1432.92,3.06,6.07,0.90,0.24,191.59,119.76,0.83,372.49
41,9.026124,-1.000000,0.00014483,1.596723,2344.25,27956.08,3.23,703.17,178.51,1446.93,1.90,6.25,0.78,0.22,191.59,122.04,0.74,372.77
42,8.934367,-1.000000,0.00014828,1.638470,2329.81,28129.30,3.47,702.87,175.50,1436.97,1.86,6.14,1.04,0.20,191.67,122.99,0.78,371.87
43,8.895477,-1.000000,0.00015172,1.588118,2336.12,28053.35,1.89,705.00,178.25,1438.93,1.81,5.96,1.08,0.42,193.26,124.00,0.76,372.56
44,8.857388,-1.000000,0.00015517,1.537317,2354.73,27831.63,1.66,709.68,181.42,1451.06,2.14,6.44,1.10,0.22,196.43,122.28,0.85,376.00
45,8.749745,-1.000000,0.00015862,1.584380,2351.93,27864.83,1.51,708.67,182.17,1449.20,1.90,5.62,0.86,0.22,197.33,123.50,0.80,374.05
46,8.824465,-1.000000,0.00016207,1.554772,2338.75,28021.84,2.35,704.80,175.42,1444.33,2.12,6.33,0.79,0.21,194.50,121.67,1.95,374.06
47,8.737360,-1.000000,0.00016552,1.532683,2305.64,28424.17,1.04,693.53,173.03,1424.75,2.20,6.56,0.97,0.24,194.51,122.88,0.81,364.61
48,8.619648,-1.000000,0.00016897,1.580792,2322.90,28213.00,2.40,700.47,173.09,1436.80,2.11,5.58,1.09,0.46,194.98,122.27,0.82,371.62
49,8.733495,-1.000000,0.00017241,1.547218,2352.01,27863.88,3.34,711.53,177.80,1448.69,1.84,5.60,0.89,0.20,194.36,122.01,0.77,375.54
50,8.484078,-1.000000,0.00017586,1.587598,2348.26,27908.31,3.22,706.05,178.54,1447.67,2.14,6.43,0.79,0.21,196.50,124.07,0.76,369.67
51,8.380963,-1.000000,0.00017931,1.613492,2329.62,28131.67,2.61,703.85,177.12,1435.68,2.08,5.58,0.86,0.22,193.58,121.00,1.05,376.48
52,8.411357,-1.000000,0.00018276,1.470209,2323.35,28207.59,3.03,701.86,175.17,1432.17,1.90,5.61,1.09,0.17,195.45,121.16,0.80,369.14
53,8.395207,-1.000000,0.00018621,1.512161,2323.66,28203.72,4.60,697.60,178.93,1429.61,2.07,5.92,0.73,0.19,192.84,119.43,0.81,365.91
54,8.298121,-1.000000,0.00018966,1.466705,2327.07,28162.51,4.01,704.83,172.18,1434.53,1.93,5.61,0.80,0.43,195.28,119.38,0.86,371.88
55,8.284538,-1.000000,0.00019310,1.408560,2336.03,28054.49,3.64,706.51,174.27,1440.26,1.79,6.29,0.71,0.17,195.46,123.59,0.74,372.22
56,8.217358,-1.000000,0.00019655,1.395194,2337.26,28039.65,3.02,704.00,180.79,1438.42,2.13,6.56,0.91,0.24,194.11,122.24,0.80,374.63
57,8.197121,-1.000000,0.00020000,1.395467,2360.10,27768.35,3.55,714.29,178.88,1452.66,1.87,6.48,1.30,0.21,195.63,119.92,0.80,379.24
58,8.120216,-1.000000,0.00020345,1.397042,2338.95,28019.43,3.29,701.39,179.56,1440.44,2.20,5.93,1.09,0.20,194.70,122.50,0.78,369.22
59,8.176909,-1.000000,0.00020690,1.270772,2351.30,27872.25,3.06,707.07,180.07,1449.92,1.79,5.93,0.88,0.22,194.33,123.21,0.74,374.22
60,8.002134,-1.000000,0.00021034,1.297388,2314.82,28311.49,1.79,697.84,174.90,1429.92,1.87,5.92,0.90,0.23,195.67,121.59,0.83,369.63
61,7.943438,-1.000000,0.00021379,1.278310,2322.34,28219.80,3.72,695.87,178.09,1431.95,2.15,6.93,0.88,0.21,193.98,121.58,0.80,367.88
62,7.911380,-1.000000,0.00021724,1.217859,2353.63,27844.63,1.38,702.15,179.25,1459.26,1.78,5.60,0.82,0.36,194.09,119.57,0.81,372.03
63,7.975969,-1.000000,0.00022069,1.102414,2344.61,27951.74,2.14,707.52,176.63,1446.27,1.88,6.25,0.89,0.22,193.71,125.53,0.74,373.17
64,7.850909,-1.000000,0.00022414,1.155512,2347.12,27921.91,1.48,704.21,179.16,1450.95,1.77,5.93,1.03,0.22,194.48,122.67,0.81,372.23
65,7.857245,-1.000000,0.00022759,1.070265,2341.89,27984.29,1.56,709.96,173.62,1446.13,1.88,5.86,0.90,0.22,194.12,124.53,0.81,378.74
66,7.745579,-1.000000,0.00023103,1.054469,2348.17,27909.41,3.05,708.05,178.62,1447.30,1.79,6.48,0.86,0.22,194.73,123.28,0.90,375.88
67,7.716255,-1.000000,0.00023448,1.041802,2348.49,27905.60,1.45,706.43,179.85,1449.97,1.83,5.93,1.00,0.23,194.81,122.39,0.74,373.47
68,7.711767,-1.000000,0.00023793,0.934514,2333.97,28079.14,3.20,710.42,172.96,1435.39,1.37,6.47,0.79,0.36,195.02,122.09,0.69,378.74
69,7.652588,-1.000000,0.00024138,0.885418,2341.37,27990.41,3.96,707.28,176.21,1444.14,1.25,5.91,1.26,0.66,193.05,119.73,0.86,377.92
70,7.627257,-1.000000,0.00024483,0.831422,2354.73,27831.64,2.49,709.76,180.04,1451.38,1.23,5.80,1.03,0.23,193.76,125.29,0.80,377.92
71,7.570268,-1.000000,0.00024828,0.836618,2357.61,27797.58,4.20,708.21,178.58,1455.77,1.29,5.96,0.92,0.20,192.21,126.64,0.70,374.70
72,7.493177,-1.000000,0.00025172,0.774945,2349.02,27899.31,3.93,707.81,176.42,1447.03,1.25,6.82,0.76,0.24,192.99,126.60,0.77,374.09
73,7.511173,-1.000000,0.00025517,0.722243,2328.39,28146.49,1.49,698.56,177.48,1439.11,1.20,6.47,1.06,0.19,194.60,122.37,0.78,368.66
74,7.520843,-1.000000,0.00025862,0.642692,2312.03,28345.68,1.89,698.61,173.01,1427.65,1.14,6.06,0.93,0.23,193.66,122.33,0.85,369.94
75,7.478881,-1.000000,0.00026207,0.603690,2357.75,27795.94,1.45,711.06,181.92,1451.69,1.25,5.60,0.97,0.23,193.51,125.38,0.83,377.62
76,7.379297,-1.000000,0.00026552,0.634291,2268.93,28884.14,1.41,683.81,167.23,1405.89,1.78,6.35,0.92,0.24,195.10,119.90,0.78,356.27
77,7.428881,-1.000000,0.00026897,0.464588,2273.91,28820.83,1.55,693.23,170.06,1400.18,1.25,5.93,1.01,0.19,194.19,123.30,0.84,363.88
78,7.395750,-1.000000,0.00027241,0.464847,2194.79,29859.87,1.35,668.01,163.61,1353.73,1.24,5.60,0.93,0.23,192.91,121.32,0.89,346.42
79,7.441467,-1.000000,0.00027586,0.399817,2194.84,29859.06,1.47,667.85,165.22,1352.35,1.26,5.60,0.94,0.24,195.27,120.88,0.76,344.38
80,7.444795,-1.000000,0.00027931,0.394995,2196.37,29838.31,2.04,669.57,166.31,1349.72,1.21,6.28,0.93,0.38,194.72,121.05,0.84,347.87
81,7.379585,-1.000000,0.00028276,0.431195,2196.51,29836.44,1.73,674.06,164.08,1348.19,1.24,5.59,0.94,0.23,192.62,121.46,0.75,350.24
82,7.373271,-1.000000,0.00028621,0.311651,2236.03,29309.14,1.59,678.84,167.34,1380.08,1.25,5.59,1.26,0.22,194.53,120.69,0.83,353.46
83,7.320161,-1.000000,0.00028966,0.351676,2230.08,29387.25,1.06,677.54,168.39,1373.77,1.25,6.13,0.91,0.23,193.44,120.73,0.84,356.42
84,7.357246,-1.000000,0.00029310,0.351387,2307.33,28403.34,2.21,705.09,174.06,1415.68,1.19,5.60,1.04,0.24,192.82,122.53,0.76,377.71
85,7.242350,-1.000000,0.00029655,0.336209,2262.58,28965.12,1.89,683.32,170.91,1396.32,1.23,6.03,0.89,0.46,194.39,121.69,0.83,358.12
86,7.411220,-1.000000,0.00030000,0.407837,2249.89,29128.57,2.18,687.89,168.85,1381.65,1.25,6.44,0.84,0.22,192.08,121.38,0.85,362.02
87,7.164317,-1.000000,0.00030345,0.354052,2243.49,29211.58,2.63,682.77,167.22,1381.53,1.31,5.79,2.01,0.20,193.09,121.21,0.86,355.24
88,7.198070,-1.000000,0.00030690,0.389404,2243.10,29216.71,1.69,679.12,166.82,1387.37,1.25,5.59,0.95,0.24,194.39,119.59,0.80,354.39
89,7.366099,-1.000000,0.00031034,0.295839,2212.73,29617.69,2.26,674.15,162.98,1365.03,1.27,5.60,0.91,0.22,194.19,121.88,0.80,350.47
90,7.103729,-1.000000,0.00031379,0.366366,2212.96,29614.67,1.69,676.70,163.97,1362.39,1.25,5.92,1.31,0.23,195.46,123.25,0.81,349.45
91,7.243004,-1.000000,0.00031724,0.340755,2235.26,29319.15,1.55,681.40,164.51,1378.37,1.16,6.26,0.96,0.22,194.09,120.11,0.81,357.88
92,7.225915,-1.000000,0.00032069,0.314523,2191.54,29904.08,2.38,663.99,164.01,1353.39,1.38,5.60,0.98,0.24,195.78,121.47,0.84,340.98
93,7.141761,-1.000000,0.00032414,0.340301,2228.14,29412.87,2.21,676.46,169.06,1371.85,1.19,5.62,0.98,0.24,194.77,121.38,1.01,352.88
94,7.048645,-1.000000,0.00032759,0.352885,2201.36,29770.70,1.65,666.39,166.35,1359.27,1.25,5.60,1.31,0.22,195.91,121.13,0.86,341.15
95,7.181709,-1.000000,0.00033103,0.334985,2191.66,29902.46,1.98,668.49,165.05,1348.46,1.25,5.59,0.95,0.24,194.05,121.04,0.81,347.22
96,7.131184,-1.000000,0.00033448,0.376481,2199.89,29790.55,1.47,666.94,161.96,1361.58,1.24,5.59,0.98,0.23,194.24,121.14,0.84,344.81
97,7.046208,-1.000000,0.00033793,0.374293,2271.56,28850.70,1.36,685.13,173.04,1402.94,1.24,5.93,0.96,0.23,193.70,121.13,0.78,359.56
98,7.046113,-1.000000,0.00034138,0.398363,2275.51,28800.60,1.73,688.64,171.83,1403.96,1.48,6.16,0.84,0.35,192.91,121.68,0.81,364.57
99,7.126773,-1.000000,0.00034483,0.302903,2241.31,29240.05,5.10,674.80,172.39,1379.08,1.28,5.59,0.87,0.20,193.72,121.18,0.86,348.80
100,7.183915,7.084837,0.00034828,0.456562,4265.28,15364.98,1.82,665.85,163.80,1360.63,1.36,5.93,1.68,0.20,193.92,121.30,0.82,341.96
