Step    Loss           Time (ms)         Tokens/sec          
0       8.570937       11697             683.94              
1       7.825051       11659             686.17              
2       8.580853       11817             676.99              
3       7.868919       11795             678.25              
4       8.015891       11890             672.83              
5       8.204299       11828             676.36              
6       8.215692       11746             681.08              
7       8.112768       11716             682.83              
8       7.992386       11739             681.49              
9       7.893728       11719             682.65              
10      7.779765       11726             682.24              
11      7.689613       11725             682.30              
12      7.694536       11735             681.72              
13      7.646917       11741             681.37              
14      7.619670       11724             682.36              
15      7.625292       11743             681.26              
16      7.634876       11735             681.72              
17      7.620498       11736             681.66              
18      7.570077       11730             682.01              
19      7.556556       11732             681.90              
20      7.551836       11734             681.78              
21      7.557349       11728             682.13              
22      7.541605       11726             682.24              
23      7.554441       11716             682.83              
24      7.550423       11729             682.07              
25      7.561080       11721             682.54              
26      7.568346       11731             681.95              
27      7.543278       11734             681.78              
28      7.545423       11737             681.61              
29      7.548204       11722             682.48              
30      7.558841       11718             682.71              
31      7.554027       11735             681.72              
32      7.548445       11728             682.13              
33      7.544589       11736             681.66              
34      7.545147       11734             681.78              
35      7.552869       11721             682.54              
36      7.524795       11724             682.36              
37      7.535446       11724             682.36              
38      7.514365       11718             682.71              
39      7.529353       11723             682.42              
40      7.522648       11722             682.48              
41      7.517767       11720             682.59              
42      7.533434       11719             682.65              
43      7.509001       11728             682.13              
44      7.508236       11724             682.36              
45      7.512304       11832             676.13              
46      7.512926       11920             671.14              
47      7.527054       11881             673.34              
48      7.518308       11907             671.87              
49      7.555800       11783             678.94              
50      7.545070       11865             674.25              
51      7.507722       11769             679.75              
52      7.538807       11761             680.21              
53      7.518221       11751             680.79              
54      7.511675       11752             680.74              
55      7.535211       11747             681.02              
56      7.538538       11750             680.85              
57      7.548906       11744             681.20              
58      7.532970       11753             680.68              
59      7.537779       11754             680.62              
60      7.538474       11746             681.08              
61      7.497225       11779             679.17              
62      7.517439       12245             653.33              
63      7.519905       11957             669.06              
64      7.511094       12231             654.08              
65      7.531473       12236             653.81              
66      7.513068       11954             669.23              
67      7.511826       12242             653.49              
68      7.522987       12187             656.44              
69      7.508105       11947             669.62              
70      7.486758       12208             655.31              
71      7.545631       12249             653.11              
72      7.514775       11931             670.52              
73      7.548418       12189             656.33              
74      7.533954       12245             653.33              
75      7.520833       11935             670.30              
76      7.528872       12204             655.52              
77      7.532354       12230             654.13              
78      7.530580       11959             668.95              
79      7.535592       12239             653.65              
80      7.557763       12224             654.45              
81      7.528628       11946             669.68              
82      7.558011       12225             654.40              
83      7.539844       12114             660.39              
84      7.534808       12002             666.56              
85      7.522914       12218             654.77              
86      7.544007       12138             659.09              
87      7.498856       12056             663.57              
88      7.521951       12233             653.97              
89      7.535127       11940             670.02              
90      7.521928       12260             652.53              
91      7.526280       12241             653.54              
92      7.530276       11919             671.20              
93      7.520539       12227             654.29              
94      7.510370       12220             654.66              
95      7.527290       11931             670.52              
96      7.518415       12225             654.40              
97      7.513792       12182             656.71              
98      7.544091       11930             670.58              
99      7.526987       12251             653.01              
100     7.525494       12235             653.86              
101     7.520715       11954             669.23              
102     7.520060       12182             656.71              
103     7.542170       12209             655.25              
104     7.531412       11932             670.47              
105     7.529906       12224             654.45              
106     7.540988       12221             654.61              
107     7.554518       11927             670.75              
108     7.544259       12227             654.29              
109     7.525853       12248             653.17              
110     7.516049       11923             670.97              
111     7.548826       12200             655.74              
112     7.545949       12243             653.43              
113     7.539873       11944             669.79              
114     7.520499       12205             655.47              
115     7.514123       12221             654.61              
116     7.526376       11926             670.80              
117     7.524708       12198             655.85              
118     7.514818       12221             654.61              
119     7.525612       11957             669.06              
120     7.532361       12217             654.83              
121     7.526982       12190             656.28              
122     7.541632       11941             669.96              
123     7.549342       12240             653.59              
124     7.543531       12194             656.06              
125     7.531509       11960             668.90              
126     7.529191       12231             654.08              
127     7.530478       12113             660.45              
128     7.537510       12057             663.51              
129     7.543201       12229             654.18              
130     7.553060       12132             659.41              
131     7.539534       12031             664.95              
132     7.563228       12225             654.40              
133     7.533130       11913             671.54              
134     7.534004       12198             655.85              
135     7.542402       12253             652.90              
136     7.520099       11953             669.29              
137     7.504983       12194             656.06              
138     7.538058       12254             652.85              
139     7.549322       11918             671.25              
140     7.514703       12223             654.50              
141     7.550837       12217             654.83              
142     7.535743       11931             670.52              
143     7.503568       12236             653.81              
144     7.542046       12244             653.38              
145     7.534507       11957             669.06              
146     7.534638       12227             654.29              
147     7.533870       12203             655.58              
148     7.540574       11923             670.97              
149     7.536930       12211             655.15              
150     7.533410       12197             655.90              
151     7.526539       11960             668.90              
152     7.526890       12220             654.66              
153     7.522390       12218             654.77              
154     7.544593       11917             671.31              
155     7.525370       12225             654.40              
156     7.556554       12230             654.13              
157     7.559279       11939             670.07              
158     7.531943       12225             654.40              
159     7.534591       12179             656.87              
160     7.525872       11943             669.85              
161     7.521211       12227             654.29              
162     7.535783       12236             653.81              
163     7.519660       11945             669.74              
164     7.526582       12241             653.54              
165     7.524016       12239             653.65              
166     7.524792       11919             671.20              
167     7.525275       12250             653.06              
168     7.526389       12242             653.49              
169     7.513165       11959             668.95              
170     7.557908       12190             656.28              
171     7.555655       12105             660.88              
