step,loss,lr,norm,dt_ms,tok_sec
0,11.337771,0.000100,0.890594,1277.198730,6414.037598
1,11.306362,0.000200,0.921435,1095.775513,7475.983887
2,11.237832,0.000300,0.884004,1074.298462,7625.440918
3,11.104735,0.000400,1.110701,1093.780640,7489.618652
4,11.012718,0.000500,0.971451,1092.479736,7498.537598
5,10.751736,0.000600,0.950880,1094.208008,7486.693359
6,10.534226,0.000700,1.080362,1093.436646,7491.975098
7,10.523977,0.000800,1.036436,1095.976318,7474.613770
8,10.063684,0.000900,1.203863,1086.566162,7539.347168
9,9.866428,0.001000,1.183420,1078.955811,7592.526367
10,9.768529,0.001000,1.255174,1092.082764,7501.263184
11,9.529925,0.001000,1.181430,1097.503540,7464.212891
12,9.374216,0.001000,1.256971,1074.879883,7621.316895
13,9.139739,0.001000,1.123744,1096.588867,7470.438965
14,8.907069,0.001000,1.230796,1088.077393,7528.875977
15,8.793275,0.001000,1.233579,1092.379517,7499.224609
16,8.491741,0.001000,1.250993,1101.432617,7437.586426
17,8.269032,0.001000,1.249857,1089.216675,7521.000977
18,8.194230,0.001000,1.144842,1077.290771,7604.260742
19,8.084576,0.001000,0.987295,1076.225952,7611.784180
20,7.983665,0.001000,1.060481,1086.135132,7542.339355
21,8.093463,0.001000,0.727654,1077.123779,7605.439941
22,8.099886,0.001000,0.723765,1088.094604,7528.757324
23,7.959328,0.001000,0.628005,1090.263916,7513.776855
24,8.011585,0.001000,0.520202,1079.768799,7586.809570
25,8.011671,0.001000,0.498077,1092.386353,7499.178223
26,7.916489,0.001000,0.601924,1087.456177,7533.176758
27,7.934365,0.001000,0.656517,1091.392944,7506.003906
28,7.814133,0.001000,0.835471,1089.842163,7516.684570
29,8.064235,0.001000,0.608304,1085.784302,7544.776367
30,8.039218,0.001000,0.550800,1080.116699,7584.365234
31,8.045938,0.001000,0.568403,1087.693604,7531.533203
32,7.761927,0.001000,0.572056,1086.645386,7538.797852
33,7.804309,0.001000,0.623078,1091.800781,7503.200195
34,7.824104,0.001000,0.708125,1085.346069,7547.822754
35,7.956851,0.001000,0.609283,1087.871216,7530.303223
36,8.173257,0.001000,0.682925,1089.087036,7521.896484
37,7.830174,0.001000,0.613977,1085.547729,7546.420898
38,7.600158,0.001000,0.464202,1074.128296,7626.649414
39,7.623800,0.001000,0.541703,1090.521118,7512.004883
40,7.987688,0.001000,0.619673,1088.236816,7527.773438
41,7.661365,0.001000,0.607215,1079.154663,7591.127441
42,7.863966,0.001000,0.461802,1090.266235,7513.761230
43,8.006235,0.001000,0.468354,1085.490234,7546.820801
44,7.840460,0.001000,0.443407,1087.865601,7530.342285
45,7.977687,0.001000,0.520218,1088.239746,7527.752930
46,7.683113,0.001000,0.521985,1086.642334,7538.818848
47,7.395353,0.001000,1.094966,1096.497192,7471.063477
48,7.580802,0.001000,0.597682,1088.211182,7527.950684
49,7.702456,0.001000,0.481459,1074.343506,7625.121094
50,7.500576,0.001000,0.591740,1084.884277,7551.035645
51,8.006860,0.001000,0.558747,1086.680542,7538.554199
52,7.449649,0.001000,0.555252,1085.870483,7544.177734
53,7.643245,0.001000,0.566158,1084.316895,7554.987305
54,8.111803,0.001000,0.508664,1077.937134,7599.701172
55,7.731637,0.000999,0.499320,1084.938477,7550.658203
56,7.990611,0.000999,0.481111,1088.412842,7526.555664
57,7.605416,0.000999,0.469990,1081.039917,7577.888672
58,7.147975,0.000999,0.590963,1092.525879,7498.220703
59,7.403387,0.000999,0.416936,1097.069580,7467.165039
60,7.697386,0.000999,0.532130,1102.846436,7428.051758
61,7.622211,0.000999,0.429943,1088.700317,7524.568359
62,7.624804,0.000999,0.375452,1092.708862,7496.965332
63,7.845403,0.000999,0.605638,1091.564697,7504.823242
64,7.522604,0.000999,0.353679,1074.326294,7625.244141
65,7.632127,0.000999,0.447112,1091.396240,7505.981934
66,7.738735,0.000999,0.623146,1082.511597,7567.586914
67,7.440198,0.000999,0.417296,1083.395996,7561.409180
68,7.397292,0.000999,0.379965,1083.588013,7560.068848
69,7.562897,0.000999,0.489992,1083.122681,7563.316406
70,7.711953,0.000999,0.533778,1084.012939,7557.104980
71,7.515850,0.000999,0.432588,1091.150513,7507.671875
72,7.606794,0.000999,0.562153,1077.153076,7605.232910
73,7.615422,0.000999,0.433894,1084.517700,7553.587891
74,7.434168,0.000999,0.544792,1093.911011,7488.726074
75,7.820052,0.000999,0.578214,1086.365112,7540.743164
76,7.609472,0.000999,0.507880,1084.415283,7554.301270
77,7.670293,0.000999,0.544710,1087.657837,7531.780762
78,7.522901,0.000999,0.506838,1089.128174,7521.612793
79,7.167920,0.000999,1.427390,1094.745850,7483.015137
80,7.434764,0.000999,0.427657,1096.481812,7471.168457
81,7.649045,0.000999,0.514706,1089.680298,7517.801270
82,7.531363,0.000999,0.428317,1083.669678,7559.499023
83,8.825378,0.000999,1.258696,1095.570068,7477.385742
84,9.055382,0.000999,1.380640,1090.201416,7514.208008
85,7.333132,0.000999,0.615477,1085.929199,7543.770020
86,7.631680,0.000999,0.563802,1082.357422,7568.664551
87,7.354804,0.000999,0.512874,1081.533813,7574.428223
88,7.313972,0.000998,0.494104,1088.393066,7526.692383
89,7.148565,0.000998,0.544866,1086.395142,7540.534668
90,7.890076,0.000998,0.502755,1094.295898,7486.092285
91,7.370940,0.000998,0.472153,1097.192261,7466.330078
92,7.403298,0.000998,0.446123,1091.861572,7502.782227
93,7.630505,0.000998,0.511844,1088.754639,7524.192871
94,7.549643,0.000998,0.543098,1083.727051,7559.099121
95,7.407288,0.000998,0.732373,1094.888306,7482.041504
96,7.242816,0.000998,0.524671,1086.623657,7538.948730
97,7.539348,0.000998,0.682474,1091.988525,7501.910156
98,7.519170,0.000998,0.533420,1083.483032,7560.801758
99,7.308137,0.000998,0.421324,1083.018066,7564.047363
100,7.868190,0.000998,0.604073,1100.083984,7446.704590
101,8.098287,0.000998,0.807936,1087.870605,7530.307617
102,7.535913,0.000998,0.765112,1083.508667,7560.623047
103,7.682913,0.000998,0.630557,1080.090332,7584.551270
104,7.607773,0.000998,0.444503,1087.050781,7535.986328
105,7.302056,0.000998,0.561543,1076.974365,7606.494629
106,7.309741,0.000998,0.587736,1093.580566,7490.988770
107,7.482306,0.000998,0.577313,1076.959839,7606.597656
108,7.282541,0.000998,0.586510,1079.957397,7585.484863
109,7.689540,0.000998,0.531428,1087.949463,7529.761230
110,7.334036,0.000998,0.453093,1090.650757,7511.111816
111,7.231408,0.000997,0.492161,1091.095581,7508.049805
112,7.132949,0.000997,0.591788,1088.723633,7524.407227
113,7.072029,0.000997,0.487841,1087.050171,7535.990723
114,7.222166,0.000997,0.585572,1090.665649,7511.009277
115,7.378631,0.000997,0.527254,1095.337524,7478.973145
116,7.546124,0.000997,0.542565,1085.499268,7546.757812
117,7.600067,0.000997,0.482133,1088.827759,7523.687988
118,6.741746,0.000997,0.706991,1089.463867,7519.294922
119,7.581543,0.000997,0.671954,1087.930054,7529.895508
120,7.332953,0.000997,0.518989,1087.964355,7529.658691
121,7.448370,0.000997,0.677157,1087.388062,7533.649414
122,8.001871,0.000997,0.568974,1094.287476,7486.149414
123,7.530747,0.000997,0.431892,1091.850464,7502.858398
124,7.062681,0.000997,0.527986,1079.038086,7591.946777
125,6.930424,0.000997,0.699294,1087.981445,7529.540039
126,6.965629,0.000997,0.536143,1090.382080,7512.962891
127,7.521674,0.000997,0.383450,1089.454834,7519.356934
128,7.077779,0.000997,0.542498,1096.054688,7474.079590
