step,loss,lr,norm,dt_ms,tok_sec
0,11.337607,0.000100,0.890512,1310.674438,6250.217285
1,11.306421,0.000200,0.921477,1083.604126,7559.956543
2,11.238411,0.000300,0.883973,1086.290527,7541.260742
3,11.104604,0.000400,1.110739,1088.157349,7528.323242
4,11.012930,0.000500,0.971387,1083.241211,7562.489258
5,10.751595,0.000600,0.950818,1081.396729,7575.388184
6,10.534271,0.000700,1.080317,1093.016479,7494.854980
7,10.524631,0.000800,1.036462,1085.192139,7548.894043
8,10.063401,0.000900,1.203753,1088.888794,7523.266113
9,9.866658,0.001000,1.183344,1079.343506,7589.798340
10,9.768846,0.001000,1.255180,1080.967896,7578.393555
11,9.529613,0.001000,1.181443,1091.519531,7505.134277
12,9.374310,0.001000,1.256973,1086.799561,7537.729004
13,9.139150,0.001000,1.123761,1082.614380,7566.867676
14,8.907122,0.001000,1.230801,1078.275757,7597.313965
15,8.792846,0.001000,1.233629,1083.043823,7563.867676
16,8.492054,0.001000,1.251005,1079.786621,7586.684082
17,8.269415,0.001000,1.249809,1075.796631,7614.822266
18,8.194283,0.001000,1.144828,1077.467651,7603.012207
19,8.084445,0.001000,0.987266,1076.123657,7612.507812
20,7.983303,0.001000,1.060442,1084.995728,7550.260254
21,8.092914,0.001000,0.727526,1085.646729,7545.732422
22,8.099917,0.001000,0.723332,1074.174561,7626.321289
23,7.959528,0.001000,0.627675,1083.779175,7558.734863
24,8.011294,0.001000,0.519948,1088.766724,7524.109863
25,8.011944,0.001000,0.498035,1079.941162,7585.598633
26,7.916512,0.001000,0.601732,1088.440796,7526.362793
27,7.934610,0.001000,0.655981,1083.967407,7557.422363
28,7.814435,0.001000,0.835223,1083.219238,7562.642090
29,8.064395,0.001000,0.608155,1091.174072,7507.509277
30,8.039573,0.001000,0.550823,1086.747559,7538.089355
31,8.046003,0.001000,0.568361,1091.126953,7507.833984
32,7.761838,0.001000,0.572338,1082.828979,7565.368164
33,7.804664,0.001000,0.623098,1074.211060,7626.062500
34,7.824116,0.001000,0.707990,1087.576416,7532.344238
35,7.956429,0.001000,0.610098,1085.900757,7543.967285
36,8.173884,0.001000,0.683555,1085.866211,7544.207520
37,7.829957,0.001000,0.614062,1085.883667,7544.086426
38,7.599713,0.001000,0.464025,1082.095337,7570.497070
39,7.623709,0.001000,0.541583,1091.047241,7508.382324
40,7.987362,0.001000,0.619343,1087.002441,7536.321777
41,7.661470,0.001000,0.607027,1087.936646,7529.850098
42,7.863931,0.001000,0.461758,1081.046387,7577.843262
43,8.006257,0.001000,0.468614,1091.025269,7508.534180
44,7.840012,0.001000,0.443542,1091.005371,7508.670898
45,7.977939,0.001000,0.520217,1084.132324,7556.273438
46,7.683108,0.001000,0.522205,1083.303345,7562.055664
47,7.395545,0.001000,1.094843,1089.232300,7520.893066
48,7.581000,0.001000,0.597374,1088.797974,7523.894043
49,7.702525,0.001000,0.481650,1089.261475,7520.691406
50,7.500293,0.001000,0.591816,1089.707275,7517.615234
51,8.006721,0.001000,0.558774,1081.713989,7573.166016
52,7.449018,0.001000,0.555325,1084.894531,7550.964355
53,7.642716,0.001000,0.566091,1083.598633,7559.995117
54,8.112184,0.001000,0.508368,1089.665649,7517.902344
55,7.731450,0.001000,0.498957,1083.585449,7560.086426
56,7.990458,0.001000,0.480774,1089.197510,7521.133789
57,7.604983,0.001000,0.470010,1081.758179,7572.857422
58,7.147607,0.001000,0.590718,1078.705200,7594.290039
59,7.403296,0.001000,0.416634,1081.571899,7574.161133
60,7.697174,0.001000,0.532088,1083.521851,7560.530762
61,7.622021,0.001000,0.429949,1091.081909,7508.144043
62,7.624823,0.001000,0.375434,1088.251709,7527.670410
63,7.845354,0.001000,0.605739,1081.869385,7572.078613
64,7.522385,0.001000,0.353584,1080.783813,7579.684082
65,7.631278,0.001000,0.447092,1085.128540,7549.335938
66,7.738778,0.001000,0.623057,1086.290649,7541.260254
67,7.440362,0.001000,0.417266,1083.960327,7557.472168
68,7.396944,0.001000,0.380383,1084.930542,7550.713867
69,7.562407,0.001000,0.490306,1088.854736,7523.500977
70,7.711485,0.001000,0.533928,1080.798096,7579.583496
71,7.515809,0.001000,0.432798,1103.383057,7424.438965
72,7.606419,0.001000,0.562322,1093.377319,7492.381348
73,7.614828,0.001000,0.434479,1093.617554,7490.735840
74,7.433536,0.001000,0.544849,1086.671509,7538.617188
75,7.820225,0.001000,0.578282,1090.981689,7508.833496
76,7.609176,0.001000,0.509189,1082.641968,7566.675293
77,7.670109,0.001000,0.545061,1082.055786,7570.773926
78,7.522615,0.001000,0.506871,1084.332642,7554.877441
79,7.167134,0.001000,1.427947,1091.738403,7503.628418
80,7.434103,0.001000,0.427792,1089.170410,7521.320312
81,7.648889,0.001000,0.515016,1091.723511,7503.730957
82,7.530685,0.001000,0.427805,1097.600342,7463.554688
83,8.825768,0.001000,1.259229,1081.763306,7572.821289
84,9.055507,0.001000,1.380828,1095.510498,7477.792480
85,7.332349,0.001000,0.615805,1100.111694,7446.516602
86,7.631983,0.001000,0.563981,1094.226685,7486.565430
87,7.353882,0.001000,0.512654,1083.823486,7558.426758
88,7.314233,0.001000,0.494251,1084.893799,7550.969238
89,7.148105,0.001000,0.545576,1084.939697,7550.649902
90,7.890304,0.001000,0.502602,1092.048828,7501.495605
91,7.370639,0.001000,0.472837,1093.582153,7490.978027
92,7.402918,0.001000,0.445665,1089.036133,7522.248535
93,7.630388,0.001000,0.511651,1095.202393,7479.895508
94,7.549276,0.001000,0.543111,1087.778442,7530.945312
95,7.407176,0.001000,0.733223,1087.285889,7534.356934
96,7.242635,0.001000,0.524862,1091.508423,7505.210449
97,7.539267,0.001000,0.682687,1093.802002,7489.472656
98,7.519186,0.001000,0.532141,1091.054932,7508.329590
99,7.308208,0.001000,0.422784,1075.747559,7615.168945
100,7.867200,0.001000,0.604453,1079.417114,7589.281250
101,8.098102,0.001000,0.807413,1089.978027,7515.748047
102,7.535881,0.001000,0.764483,1085.299316,7548.147949
103,7.682458,0.001000,0.630937,1098.264160,7459.042969
104,7.607503,0.001000,0.445328,1078.475952,7595.904297
105,7.301538,0.001000,0.561581,1084.508301,7553.653809
106,7.309883,0.001000,0.587910,1087.973755,7529.593750
107,7.483142,0.001000,0.576695,1092.424561,7498.916504
108,7.282462,0.001000,0.587367,1090.689453,7510.845703
109,7.688680,0.001000,0.531638,1092.290894,7499.833984
110,7.334743,0.001000,0.453206,1092.843140,7496.043457
111,7.230393,0.001000,0.492861,1085.675415,7545.533691
112,7.131629,0.001000,0.592044,1099.585571,7450.079590
113,7.071411,0.001000,0.488029,1093.256348,7493.210449
114,7.222123,0.001000,0.588636,1105.089844,7412.971680
115,7.378467,0.001000,0.528166,1092.828857,7496.141602
116,7.545635,0.001000,0.542088,1093.071045,7494.480469
117,7.600553,0.001000,0.481997,1095.776978,7475.973633
118,6.741127,0.001000,0.707138,1081.251343,7576.406738
119,7.581223,0.001000,0.671721,1091.358154,7506.243164
120,7.331996,0.001000,0.517309,1096.372070,7471.915527
121,7.448208,0.001000,0.674329,1095.247925,7479.584473
122,8.001533,0.001000,0.564766,1098.112793,7460.071289
123,7.529354,0.001000,0.426664,1098.502686,7457.423828
124,7.057901,0.001000,0.520159,1100.059692,7446.868164
125,6.927880,0.001000,0.699429,1097.459839,7464.510254
126,6.964114,0.001000,0.532296,1093.534424,7491.304688
127,7.520920,0.001000,0.383565,1099.097778,7453.386230
128,7.073874,0.001000,0.541466,1090.411377,7512.760742
129,6.974736,0.001000,0.609377,1085.375000,7547.622070
130,7.100032,0.001000,0.610006,1096.226440,7472.908691
131,7.376147,0.001000,0.592788,1104.017212,7420.173828
132,7.219066,0.001000,0.547634,1089.765259,7517.214844
133,7.299047,0.001000,0.591342,1092.623657,7497.549316
134,7.362632,0.001000,0.579780,1090.263550,7513.779297
135,7.285937,0.001000,0.380023,1091.025146,7508.534668
136,7.228367,0.001000,0.473905,1084.404297,7554.377441
137,7.241990,0.001000,0.458677,1094.318726,7485.936035
138,6.841753,0.001000,0.635590,1092.096802,7501.166504
139,7.387726,0.001000,0.650194,1092.862061,7495.914551
140,7.456169,0.001000,0.697837,1088.292114,7527.390625
141,7.123491,0.001000,0.400048,1092.333740,7499.539062
142,7.342493,0.001000,0.572098,1093.903320,7488.778809
143,7.368542,0.001000,0.683683,1090.138062,7514.644531
144,7.220149,0.001000,0.464446,1083.364624,7561.627930
145,7.187491,0.001000,0.450459,1088.067871,7528.941895
146,7.182828,0.001000,0.411412,1089.004883,7522.463867
147,6.796216,0.001000,0.468951,1100.132568,7446.375000
148,6.974123,0.001000,0.479232,1087.144775,7535.335449
149,6.900797,0.001000,0.444422,1088.067993,7528.940918
150,7.125312,0.001000,0.483132,1085.015747,7550.120605
151,7.320218,0.001000,0.481202,1085.927612,7543.780762
152,7.374666,0.001000,0.481922,1090.572510,7511.651367
153,7.237251,0.001000,0.441931,1092.357544,7499.376465
154,7.445202,0.001000,0.768950,1091.177856,7507.483887
155,7.588978,0.001000,0.620130,1088.500244,7525.951172
156,7.400169,0.001000,0.582606,1092.409058,7499.022461
157,7.452302,0.001000,0.672764,1087.038818,7536.068848
158,7.205836,0.001000,0.495362,1091.404053,7505.927734
159,7.139112,0.001000,0.551633,1105.273804,7411.737793
160,7.035364,0.000999,0.560554,1083.755981,7558.897461
161,7.200356,0.000999,0.559763,1084.452759,7554.040527
162,7.443020,0.000999,0.380752,1076.170776,7612.174316
163,7.238182,0.000999,0.380249,1080.893311,7578.916504
164,7.079371,0.000999,0.527746,1093.641357,7490.572266
165,7.504380,0.000999,0.614721,1090.470093,7512.356445
166,7.073085,0.000999,0.465915,1094.217529,7486.628418
167,6.859845,0.000999,0.545681,1089.694702,7517.701660
168,7.077334,0.000999,0.375860,1084.016724,7557.079102
169,7.414041,0.000999,0.598477,1092.285400,7499.871582
170,7.204827,0.000999,0.583807,1095.566650,7477.409180
171,7.369509,0.000999,0.646922,1092.709839,7496.958496
172,7.025703,0.000999,0.512533,1091.676147,7504.057129
173,7.203385,0.000999,0.482216,1096.644775,7470.058105
174,6.846807,0.000999,0.935089,1089.232056,7520.895020
175,6.944374,0.000999,0.702302,1083.603638,7559.959961
176,7.008077,0.000999,0.618328,1093.347900,7492.583008
177,7.223663,0.000999,0.808685,1093.157227,7493.890137
178,6.842434,0.000999,0.764147,1089.757080,7517.271484
179,6.774230,0.000999,0.627745,1093.407104,7492.177246
180,6.985870,0.000999,0.526806,1093.649658,7490.516113
181,7.045443,0.000999,0.470761,1092.516846,7498.282227
182,6.909904,0.000999,0.554922,1092.582031,7497.835449
183,6.969055,0.000999,0.491960,1094.082520,7487.552734
184,6.969603,0.000999,0.452013,1082.817383,7565.448730
185,7.487623,0.000999,0.560502,1095.312622,7479.143555
186,6.984776,0.000999,0.613929,1097.515381,7464.132324
187,7.037776,0.000999,0.538866,1103.435059,7424.088867
188,7.357428,0.000999,0.596338,1092.667480,7497.249023
189,7.078918,0.000999,0.492268,1086.829102,7537.523926
190,7.140766,0.000999,0.445449,1101.547485,7436.810547
191,7.285708,0.000999,0.408678,1092.849731,7495.998535
192,6.889705,0.000999,0.499060,1089.471191,7519.244141
193,7.088826,0.000999,0.419888,1091.676514,7504.054688
194,6.732817,0.000999,0.497721,1086.508911,7539.745117
195,6.964806,0.000999,0.565194,1094.078735,7487.577637
196,7.262706,0.000999,0.781460,1077.018921,7606.179688
197,7.198709,0.000999,0.539634,1089.844727,7516.667480
198,7.175700,0.000999,0.512191,1091.803955,7503.178711
199,7.649240,0.000999,0.545287,1101.196411,7439.181641
200,7.394700,0.000999,0.428945,1095.570923,7477.379883
201,7.152067,0.000999,0.535934,1100.163330,7446.166992
202,6.719383,0.000999,0.750375,1101.848145,7434.781250
203,7.229889,0.000999,0.505017,1099.728027,7449.114746
204,7.096213,0.000999,0.458908,1097.667603,7463.097168
205,7.259538,0.000999,0.478886,1082.666504,7566.503418
206,6.994993,0.000999,0.476182,1097.500488,7464.233887
207,7.317563,0.000999,0.522219,1085.847168,7544.339844
208,6.911060,0.000999,0.477984,1088.864746,7523.431641
209,7.281722,0.000999,0.426359,1086.550781,7539.454102
210,8.332402,0.000999,0.876550,1090.018799,7515.467285
211,8.259578,0.000999,1.062326,1090.109009,7514.844727
212,7.081529,0.000999,0.919141,1095.754883,7476.124512
213,7.111199,0.000999,0.658923,1088.896606,7523.211914
214,6.812004,0.000999,0.718773,1083.391602,7561.439941
215,7.032407,0.000999,0.503924,1075.050293,7620.108887
216,7.255371,0.000999,0.568390,1085.118652,7549.404785
217,6.862915,0.000999,0.496265,1090.741333,7510.488770
218,6.691163,0.000999,0.694001,1089.584229,7518.464355
219,7.060642,0.000999,0.864927,1085.416504,7547.333008
220,7.207030,0.000999,0.686353,1087.785645,7530.895996
221,7.005969,0.000999,0.598764,1092.701294,7497.016602
222,7.149189,0.000999,0.429798,1090.232178,7513.996094
223,7.117491,0.000999,0.451784,1091.288452,7506.723145
224,7.025932,0.000999,0.662373,1088.480225,7526.089844
225,7.125523,0.000999,0.604280,1095.247925,7479.584473
226,7.466672,0.000999,0.721155,1099.309692,7451.949219
227,7.078632,0.000999,0.725969,1094.513062,7484.606934
228,7.256649,0.000999,0.522700,1096.330444,7472.200195
229,7.084993,0.000999,0.473105,1095.999268,7474.457520
230,7.091201,0.000999,0.441925,1088.873657,7523.370605
231,7.120021,0.000999,0.495712,1091.523560,7505.106445
232,7.263106,0.000999,0.876402,1085.070557,7549.739258
233,7.290110,0.000999,1.251884,1086.165161,7542.130859
234,6.972122,0.000999,0.538980,1081.708496,7573.204590
235,7.300080,0.000999,0.836380,1098.723877,7455.922363
236,6.572668,0.000999,0.572091,1092.662598,7497.282715
237,6.833825,0.000999,0.601569,1091.413574,7505.861816
238,6.911401,0.000999,0.586078,1086.698853,7538.426758
239,7.314787,0.000999,0.571520,1094.411743,7485.299805
240,7.245169,0.000999,0.709671,1090.979370,7508.849609
241,7.429550,0.000999,0.850162,1094.080200,7487.567871
242,7.196019,0.000999,0.564962,1099.372437,7451.524414
243,7.062552,0.000999,0.700264,1094.459229,7484.975586
244,7.120418,0.000999,0.516784,1093.408569,7492.167480
245,7.010534,0.000999,0.586238,1094.202393,7486.731934
246,6.405245,0.000999,0.564419,1083.106689,7563.428711
247,6.762786,0.000999,0.558718,1096.107544,7473.718750
248,6.975124,0.000999,0.606878,1080.381226,7582.508301
249,7.000411,0.000999,0.500881,1088.827881,7523.687012
250,6.794824,0.000999,0.508058,1086.796143,7537.751953
251,7.021688,0.000999,0.462596,1090.015869,7515.486816
252,7.101350,0.000999,0.477187,1087.890503,7530.169434
253,6.998608,0.000999,0.642043,1093.233887,7493.364258
254,6.910001,0.000999,0.457789,1076.977783,7606.471191
255,7.103230,0.000999,0.468511,1079.723389,7587.128418
256,6.862103,0.000999,0.415690,1080.065186,7584.727539
257,7.080119,0.000999,0.481441,1082.119751,7570.327148
258,6.467299,0.000999,0.613310,1083.117065,7563.356445
259,6.582612,0.000999,0.716087,1080.827271,7579.379883
260,7.180767,0.000999,0.622022,1085.174072,7549.019043
261,6.755933,0.000999,0.726125,1083.405029,7561.345703
262,7.196620,0.000999,0.435286,1082.880493,7565.008301
263,7.029080,0.000999,0.682864,1088.713623,7524.476074
264,7.145948,0.000999,0.580208,1087.176392,7535.115234
265,6.901912,0.000999,0.530914,1080.687378,7580.360352
266,7.073989,0.000999,0.594132,1078.571045,7595.234375
267,6.766035,0.000999,0.609486,1081.795898,7572.592773
