step,loss,lr,norm,dt_ms,tok_sec
0,23.025873,0.000006,5.732051,137.526398,930.730469
1,23.025873,0.000012,5.797403,20.781219,6159.407715
2,23.025873,0.000018,4.682662,24.101805,5310.805664
3,23.025873,0.000024,5.969870,23.963032,5341.561035
4,23.025873,0.000030,6.352198,23.761452,5386.876465
5,23.025873,0.000036,4.632459,23.982384,5337.250977
6,23.025873,0.000042,4.791989,23.800049,5378.140137
7,23.025873,0.000048,4.481340,24.823452,5156.414062
8,23.025873,0.000054,5.360696,25.845655,4952.476074
9,23.025873,0.000060,4.453159,26.544081,4822.167480
10,23.025873,0.000066,5.046850,26.601913,4811.683594
11,23.025873,0.000072,4.730017,26.727123,4789.142578
12,23.025873,0.000078,4.865705,27.409571,4669.901855
13,23.025873,0.000084,3.982525,24.820572,5157.012695
14,23.025873,0.000090,3.926962,26.971691,4745.716797
15,23.025873,0.000096,3.875885,25.712688,4978.087402
16,23.025873,0.000102,3.765797,25.554749,5008.854004
17,23.020079,0.000108,3.763963,25.920198,4938.233887
18,22.375689,0.000114,3.591141,25.986244,4925.682617
19,23.025873,0.000120,4.119068,25.872885,4947.264648
20,22.991188,0.000126,3.868253,26.145960,4895.593750
21,22.886187,0.000132,3.543065,25.439720,5031.501953
22,23.025873,0.000138,3.243915,26.218187,4882.107422
23,23.025873,0.000144,3.776503,25.006563,5118.656250
24,23.025873,0.000150,3.583536,26.479116,4833.998047
25,23.025873,0.000156,3.270851,25.984922,4925.933594
26,22.876482,0.000162,3.981676,26.481972,4833.477051
27,23.025873,0.000168,3.984055,25.439760,5031.494141
28,23.025873,0.000174,3.601805,26.240572,4877.942383
29,23.025873,0.000180,3.794847,25.647783,4990.684570
30,23.025873,0.000186,3.217541,25.709614,4978.682129
31,23.023651,0.000192,3.402365,25.865763,4948.626465
32,23.022999,0.000198,3.275051,25.730984,4974.547363
33,23.025873,0.000204,3.335315,25.863544,4949.050781
34,23.025873,0.000210,3.152219,24.799517,5161.391113
35,23.025873,0.000216,3.710833,24.156425,5298.797363
36,23.025873,0.000222,3.290460,25.684992,4983.455078
37,22.663296,0.000228,3.740889,26.261288,4874.094727
38,23.025873,0.000234,5.044214,25.737768,4973.236328
39,22.987185,0.000240,3.307225,25.603249,4999.365723
40,22.894205,0.000246,2.927094,25.451635,5029.146484
41,22.636438,0.000252,2.912247,26.071899,4909.500488
42,22.505434,0.000258,3.089291,25.602983,4999.417480
43,22.554028,0.000264,3.124744,25.922882,4937.722656
44,22.733585,0.000270,2.877362,25.828630,4955.741211
