step,loss,val_loss,lr,norm,dt_ms,tok_per_sec
0,11.239169,-1,0.000120,2.222658,968.450489,8458.873317
1,11.045136,-1,0.000240,12.932218,751.086776,10906.862245
2,9.214958,-1,0.000360,13.308606,750.305933,10918.213011
3,6.896886,-1,0.000480,12.244378,754.134138,10862.788975
4,6.376262,-1,0.000600,10.071520,757.273827,10817.751397
5,6.238180,-1,0.000600,9.369600,750.415748,10916.615252
6,6.230571,-1,0.000600,9.254769,754.318148,10860.139083
7,6.323711,-1,0.000600,10.247238,752.112499,10891.987583
8,6.651355,-1,0.000600,12.098015,749.073806,10936.172023
9,6.899414,-1,0.000600,12.875916,750.282188,10918.558552
10,10.423636,-1,0.000600,2.482441,745.446291,10989.389979
11,10.227301,-1,0.000600,2.539360,749.892994,10924.225277
12,10.071372,-1,0.000600,2.616590,747.872373,10953.740632
13,10.113585,-1,0.000600,2.269459,751.033229,10907.639880
14,10.043232,-1,0.000600,2.409064,751.481124,10901.138749
15,9.959687,-1,0.000600,2.459154,752.637486,10884.390098
16,9.928981,-1,0.000600,2.273106,749.807406,10925.472241
17,9.866332,-1,0.000600,2.387804,750.878198,10909.891940
18,9.824600,-1,0.000600,2.187871,750.558398,10914.540457
19,9.711745,-1,0.000600,2.525028,750.515045,10915.170928
20,9.668314,-1,0.000600,2.381501,754.636443,10855.558429
21,9.595879,-1,0.000600,2.441498,753.202864,10876.219929
22,9.570568,-1,0.000600,2.470121,748.593138,10943.194085
23,9.674232,-1,0.000600,2.163587,751.103284,10906.622530
24,9.635385,-1,0.000600,2.250597,748.888811,10938.873541
25,9.472592,-1,0.000600,2.598228,749.679493,10927.336384
26,9.676567,-1,0.000600,2.214312,749.546242,10929.278997
27,9.563476,-1,0.000600,2.324760,753.508726,10871.805086
28,9.563370,-1,0.000600,2.300684,743.496670,11018.206712
29,9.578512,-1,0.000600,2.245927,737.311770,11110.632345
30,9.657387,-1,0.000600,2.206805,746.722807,10970.603714
31,9.730260,-1,0.000600,2.141762,750.746603,10911.804286
32,9.514076,-1,0.000600,2.219248,750.443141,10916.216769
33,9.507918,-1,0.000600,2.286500,751.154719,10905.875704
34,9.358481,-1,0.000600,2.658178,758.838273,10795.449164
35,9.348391,-1,0.000600,2.669132,758.083543,10806.196857
36,9.502913,-1,0.000600,2.090657,754.062386,10863.822612
37,9.652742,-1,0.000600,1.992013,748.017695,10951.612582
38,9.293056,-1,0.000600,2.533812,749.011996,10937.074498
39,9.155827,-1,0.000600,2.520087,737.602572,11106.251945
40,9.298249,-1,0.000600,2.393879,726.439587,11276.918476
41,9.759697,-1,0.000600,2.195329,739.274381,11081.136058
42,9.367729,-1,0.000600,2.267912,738.527599,11092.341046
43,9.255982,-1,0.000600,2.718874,724.209965,11311.636674
44,9.282961,-1,0.000600,2.312963,760.593784,10770.532408
45,9.474551,-1,0.000600,1.979812,761.093530,10763.460307
46,9.453156,-1,0.000600,1.790332,765.807060,10697.211384
47,9.466589,-1,0.000600,1.821971,758.312696,10802.931354
48,9.290156,-1,0.000600,2.100897,740.818826,11058.034316
49,9.234258,-1,0.000600,2.023472,738.169288,11097.725323
50,9.354982,-1,0.000600,2.058732,747.242583,10962.972650
51,9.215644,-1,0.000600,2.417662,755.181704,10847.720432
52,9.299708,-1,0.000600,1.997639,757.399109,10815.962024
53,9.386076,-1,0.000600,1.728540,746.646298,10971.727874
54,9.322169,-1,0.000600,1.744327,761.217776,10761.703494
55,9.191030,-1,0.000600,1.711931,755.612251,10841.539413
56,9.316601,-1,0.000600,2.284129,756.513453,10828.624352
57,9.587134,-1,0.000600,1.758003,755.277827,10846.339860
58,9.375070,-1,0.000600,1.505294,754.171966,10862.244116
59,9.239326,-1,0.000600,1.919392,750.754335,10911.691905
60,9.324877,-1,0.000600,1.729290,755.392564,10844.692403
61,9.359159,-1,0.000600,1.766565,747.626729,10957.339649
62,9.274868,-1,0.000600,1.722630,746.026756,10980.839406
63,9.379134,-1,0.000600,1.630971,746.094822,10979.837627
64,9.254334,-1,0.000599,1.924527,753.419291,10873.095629
65,9.232744,-1,0.000599,1.962652,755.197977,10847.486685
66,9.240412,-1,0.000599,1.816822,758.110719,10805.809488
67,9.262836,-1,0.000599,1.588853,753.828085,10867.199250
68,9.107876,-1,0.000599,2.107516,751.895320,10895.133647
69,9.133237,-1,0.000599,1.806755,751.057036,10907.294130
70,9.363448,-1,0.000599,1.557287,760.542180,10771.263206
71,9.123174,-1,0.000599,1.921958,749.002413,10937.214431
72,9.249297,-1,0.000599,1.704924,748.164458,10949.464269
73,9.404812,-1,0.000599,1.628637,748.343094,10946.850536
74,9.385189,-1,0.000599,1.454918,755.646606,10841.046509
75,9.325050,-1,0.000599,1.651400,747.053441,10965.748299
76,9.328926,-1,0.000599,1.622933,750.627180,10913.540328
77,9.208065,-1,0.000599,1.811882,748.024956,10951.506276
78,9.237370,-1,0.000599,1.785977,753.310436,10874.666815
79,9.057560,-1,0.000599,2.169048,743.630857,11016.218495
80,9.057709,-1,0.000599,1.618726,757.450918,10815.222221
81,9.042129,-1,0.000599,1.821244,756.578022,10827.700200
82,9.270407,-1,0.000599,1.650496,751.541635,10900.261035
83,9.226737,-1,0.000599,2.100525,720.495969,11369.945638
84,9.203623,-1,0.000599,1.922018,743.609198,11016.539362
85,9.081316,-1,0.000599,2.076092,729.277074,11233.041997
86,9.001306,-1,0.000599,2.252706,730.749903,11210.401762
87,9.322299,-1,0.000599,2.051992,714.006769,11473.280585
88,9.200432,-1,0.000599,1.956008,714.322468,11468.209901
89,9.377684,-1,0.000599,1.591287,717.300979,11420.589459
90,9.149921,-1,0.000599,2.669938,717.360969,11419.634402
91,9.166286,-1,0.000599,2.529588,717.356256,11419.709428
92,9.154389,-1,0.000599,1.971175,716.025348,11440.935747
93,9.182853,-1,0.000599,1.624551,715.204729,11454.062967
94,9.297195,-1,0.000599,1.504520,716.845766,11427.841788
95,9.156870,-1,0.000599,1.645215,717.340176,11419.965414
96,9.128205,-1,0.000599,1.717219,719.959978,11378.410259
97,9.054265,-1,0.000599,1.698222,746.937138,10967.455738
98,9.196987,-1,0.000599,1.410640,724.253493,11310.956839
99,9.220057,-1,0.000599,1.403960,755.003809,10850.276386
100,9.190396,-1,0.000599,1.385128,728.044087,11252.065838
101,9.014173,-1,0.000599,1.678264,745.565928,10987.626570
102,9.200962,-1,0.000599,1.491160,740.401614,11064.265454
103,8.942941,-1,0.000599,1.487155,739.040365,11084.644883
104,9.096398,-1,0.000599,1.368011,733.410098,11169.739853
105,9.205626,-1,0.000599,1.371130,749.806297,10925.488400
106,9.168326,-1,0.000598,1.213025,726.670282,11273.338408
107,9.135483,-1,0.000598,1.596481,722.790642,11333.849007
108,8.980300,-1,0.000598,1.376308,737.542906,11107.150423
109,9.143792,-1,0.000598,1.452221,722.103458,11344.634774
110,9.073853,-1,0.000598,1.992184,717.813192,11412.440021
111,9.177127,-1,0.000598,3.201151,716.579645,11432.085822
112,9.089917,-1,0.000598,7.703227,719.287070,11389.054999
113,8.879054,-1,0.000598,5.502739,720.008800,11377.638718
114,8.860552,-1,0.000598,9.144527,717.275787,11420.990571
115,9.080070,-1,0.000598,2.484282,715.029962,11456.862559
116,9.038727,-1,0.000598,5.374362,717.629706,11415.357992
117,9.141337,-1,0.000598,21.380566,718.261055,11405.323932
118,9.139170,-1,0.000598,5.171290,720.662943,11367.311279
119,8.948679,-1,0.000598,9.719555,717.755253,11413.361262
120,9.257571,-1,0.000598,14.280214,721.204255,11358.779352
121,9.255242,-1,0.000598,12.706428,717.170240,11422.671415
122,9.079947,-1,0.000598,23.461493,717.545827,11416.692414
123,8.873672,-1,0.000598,10.725309,719.835339,11380.380423
124,9.055482,-1,0.000598,5.715604,722.269266,11342.030439
125,9.147196,-1,0.000598,16.804337,718.160349,11406.923275
126,9.062508,-1,0.000598,17.032322,723.545750,11322.020757
127,9.064198,-1,0.000598,9.863980,742.967984,11026.047120
128,8.946396,-1,0.000598,8.263818,732.127882,11189.302035
129,9.159709,-1,0.000598,15.321687,730.939842,11207.488673
130,8.973929,-1,0.000598,6.280446,730.115937,11220.135851
131,9.085624,-1,0.000598,30.959909,724.608773,11305.411010
132,9.002460,-1,0.000598,19.129551,731.576953,11197.728368
133,8.904368,-1,0.000598,7.910203,739.061322,11084.330564
134,9.094777,-1,0.000598,9.834060,729.968482,11222.402339
135,9.118164,-1,0.000597,7.349823,750.745955,10911.813704
136,9.107320,-1,0.000597,7.675090,757.097749,10820.267278
137,9.699530,-1,0.000597,10.007508,730.710505,11211.006197
138,9.831362,-1,0.000597,11.053859,734.714582,11149.908006
139,9.151256,-1,0.000597,9.069398,725.114956,11297.519010
140,9.046707,-1,0.000597,8.664055,734.163720,11158.274070
141,9.090908,-1,0.000597,20.174847,723.554713,11321.880506
142,9.165159,-1,0.000597,13.625520,723.331726,11325.370788
143,9.290241,-1,0.000597,38.180603,730.114153,11220.163267
144,8.998963,-1,0.000597,6.868104,723.822238,11317.695934
145,9.037067,-1,0.000597,7.591528,730.521217,11213.911122
146,9.222774,-1,0.000597,12.720361,724.410511,11308.505158
147,9.186923,-1,0.000597,20.820972,727.658934,11258.021605
148,9.115685,-1,0.000597,10.257883,715.093506,11455.844489
149,8.977263,-1,0.000597,8.047746,719.194311,11390.523916
150,9.129328,-1,0.000597,10.348989,717.930509,11410.575115
151,8.974384,-1,0.000597,11.392073,719.876708,11379.726429
152,8.910795,-1,0.000597,7.703507,723.594996,11321.250209
153,9.127255,-1,0.000597,7.674669,718.805934,11396.678314
154,8.933838,-1,0.000597,9.498445,719.069998,11392.493113
155,9.065783,-1,0.000597,5.784288,718.220120,11405.973979
156,8.926951,-1,0.000597,9.704692,716.224317,11437.757425
157,9.062482,-1,0.000597,6.341722,716.348529,11435.774164
158,9.002255,-1,0.000597,6.560858,718.860713,11395.809858
159,9.110025,-1,0.000596,9.193693,715.865541,11443.489777
160,9.263162,-1,0.000596,4.974135,717.729548,11413.770024
161,9.134725,-1,0.000596,6.383296,719.701657,11382.494288
162,9.117676,-1,0.000596,8.964200,720.886614,11363.784319
163,9.178187,-1,0.000596,6.724232,721.529166,11353.664392
164,9.283216,-1,0.000596,9.314772,721.680332,11351.286209
165,9.315446,-1,0.000596,13.860011,714.424958,11466.564694
166,9.107599,-1,0.000596,13.745285,718.921483,11394.846577
