step,loss,lr,norm,dt_ms,tok_sec
0,11.344876,0.000100,0.885418,1179.610107,6944.667480
1,11.308549,0.000200,0.934407,963.990173,8498.011719
2,11.221883,0.000300,0.900693,938.514404,8728.688477
3,11.103469,0.000400,0.936897,946.938110,8651.041016
4,10.932329,0.000500,0.960466,944.780762,8670.794922
5,10.685127,0.000600,0.971569,933.975403,8771.109375
6,10.485827,0.000700,1.034804,951.554810,8609.067383
7,10.319856,0.000800,1.108168,958.509888,8546.599609
8,10.097665,0.000900,1.145707,931.599426,8793.478516
9,9.829107,0.001000,1.192197,946.431763,8655.668945
10,9.552301,0.001000,1.303255,957.715698,8553.686523
11,9.294108,0.001000,1.283514,950.079895,8622.432617
12,9.109166,0.001000,1.361370,958.264587,8548.787109
13,8.984886,0.001000,1.224421,955.891541,8570.009766
14,8.729630,0.001000,1.230540,938.632812,8727.587891
15,8.750365,0.001000,1.103101,947.422913,8646.613281
16,8.473403,0.001000,1.121842,942.309998,8693.530273
17,8.137094,0.001000,1.299010,944.025574,8677.731445
18,8.394541,0.001000,0.918905,953.636658,8590.273438
19,8.095206,0.001000,1.152345,959.292969,8539.623047
20,8.327793,0.001000,0.905661,941.894592,8697.364258
21,7.939180,0.001000,0.908871,954.618103,8581.442383
22,7.889506,0.001000,0.653746,950.682251,8616.969727
23,7.949446,0.001000,0.677318,954.475037,8582.728516
24,7.645814,0.001000,0.564901,941.818054,8698.070312
25,7.882088,0.001000,0.903823,931.681396,8792.705078
26,7.876758,0.001000,0.687112,929.614197,8812.257812
27,7.883805,0.001000,0.587576,954.410828,8583.305664
28,8.273358,0.001000,0.696250,953.077515,8595.313477
29,7.887484,0.001000,0.754992,940.742981,8708.010742
30,7.920081,0.001000,0.608475,932.408936,8785.844727
31,7.811483,0.001000,0.475275,958.383179,8547.729492
32,7.778891,0.001000,0.511655,961.838928,8517.018555
33,7.785174,0.001000,0.488245,951.049255,8613.644531
34,7.698844,0.001000,0.674115,954.096313,8586.134766
35,7.705012,0.001000,0.471073,957.846008,8552.523438
36,7.942600,0.001000,0.478991,947.160889,8649.005859
37,7.952589,0.001000,0.500077,961.584534,8519.272461
38,7.729609,0.001000,0.384103,967.858459,8464.047852
39,7.785780,0.001000,0.580796,982.430237,8338.505859
40,7.796583,0.001000,0.627863,969.410583,8450.495117
41,7.843908,0.001000,0.455671,982.837341,8335.051758
42,7.830459,0.001000,0.488631,974.824524,8403.563477
43,7.893957,0.001000,0.510002,966.285339,8477.827148
44,7.953810,0.001000,0.380725,957.468567,8555.894531
45,7.688694,0.001000,0.497414,941.833984,8697.923828
46,7.770700,0.001000,0.411448,944.890686,8669.786133
47,7.960647,0.001000,0.452332,933.284546,8777.601562
48,7.788200,0.001000,0.354296,940.433044,8710.880859
49,7.837076,0.001000,0.357191,949.170349,8630.695312
50,7.506503,0.001000,0.516567,944.936035,8669.370117
51,7.524863,0.001000,0.454384,953.698853,8589.713867
52,7.878275,0.001000,0.477796,934.151917,8769.452148
53,7.637196,0.001000,0.358886,958.729065,8544.645508
54,7.634208,0.001000,0.360369,952.070007,8604.409180
55,7.672561,0.001000,0.339543,950.431702,8619.241211
