step,loss,val_loss,lr,norm,dt_ms,tok_sec
0,11.996675,12.017344,0.000000,0.963650,4211.701660,1945.057007
1,12.006178,12.017344,0.000000,1.007301,494.699890,16559.535156
2,11.976952,12.017344,0.000000,0.977848,492.164001,16644.857422
3,11.975882,12.017344,0.000000,1.011570,486.754944,16829.824219
4,12.015249,12.017344,0.000000,1.011110,493.337738,16605.255859
5,12.021420,12.017344,0.000000,0.988147,483.301727,16950.074219
6,12.010372,12.017344,0.000000,0.997915,493.190002,16610.232422
7,11.982043,12.017344,0.000000,1.007197,492.357422,16638.318359
8,12.030878,12.017344,0.000001,0.982417,496.115143,16512.294922
9,12.045044,12.017344,0.000001,0.982781,489.298767,16742.328125
10,11.983086,12.017344,0.000001,1.036610,493.631439,16595.376953
11,12.038095,12.017344,0.000001,1.017243,492.762207,16624.652344
12,12.014826,12.017344,0.000001,1.072999,495.227295,16541.898438
13,12.038733,12.017344,0.000001,0.987007,499.959595,16385.324219
14,12.013971,12.017344,0.000001,1.019949,495.242523,16541.390625
15,12.025614,12.017344,0.000001,0.961408,497.388885,16470.009766
16,12.060134,12.017344,0.000001,1.025069,503.552002,16268.428711
17,12.136179,12.017344,0.000001,1.216677,497.400726,16469.617188
18,12.020823,12.017344,0.000001,0.989277,501.026825,16350.422852
19,12.059324,12.017344,0.000001,1.264385,501.832703,16324.165039
20,12.043356,12.017344,0.000001,1.097707,506.967773,16158.817383
21,12.139125,12.017344,0.000001,1.167810,506.117676,16185.958008
22,12.034528,12.017344,0.000001,1.053617,501.354034,16339.750977
23,11.994106,12.017344,0.000001,0.963084,503.952393,16255.503906
24,12.015806,12.017344,0.000002,1.053001,500.975983,16352.082031
25,12.023239,12.017344,0.000002,1.103800,504.329315,16243.354492
26,12.018999,12.017344,0.000002,1.028128,492.438538,16635.578125
27,11.989038,12.017344,0.000002,1.053329,494.796021,16556.318359
28,11.986794,12.017344,0.000002,0.993947,494.820709,16555.492188
29,12.007177,12.017344,0.000002,0.989614,494.893494,16553.056641
30,12.003177,12.017344,0.000002,0.985481,497.755219,16457.888672
31,11.999924,12.017344,0.000002,0.969680,498.917664,16419.542969
32,12.027349,12.017344,0.000002,1.016947,495.395966,16536.267578
33,12.008715,12.017344,0.000002,0.989274,505.288116,16212.532227
34,12.003826,12.017344,0.000002,1.080710,503.488831,16270.469727
35,12.025887,12.017344,0.000002,0.989646,504.146820,16249.235352
36,12.019888,12.017344,0.000002,0.955865,493.764984,16590.888672
37,11.983252,12.017344,0.000002,0.918314,493.625610,16595.574219
38,11.983982,12.017344,0.000002,0.967676,494.571747,16563.826172
39,12.014711,12.017344,0.000002,1.066136,499.902893,16387.181641
40,12.044298,12.017344,0.000003,1.099682,498.904602,16419.972656
41,11.981280,12.017344,0.000003,0.973782,497.429749,16468.656250
42,12.012056,12.017344,0.000003,1.066321,498.652374,16428.279297
43,11.959012,12.017344,0.000003,1.064325,493.201782,16609.833984
44,12.011489,12.017344,0.000003,0.995950,487.825714,16792.882812
45,11.995448,12.017344,0.000003,1.088299,495.247955,16541.208984
46,12.006829,12.017344,0.000003,1.026012,491.582794,16664.539062
47,11.915618,12.017344,0.000003,0.991162,493.277893,16607.271484
48,12.013087,12.017344,0.000003,1.083351,492.221069,16642.929688
49,12.000683,12.017344,0.000003,0.967451,493.037567,16615.367188
50,12.010929,12.017344,0.000003,0.999707,495.329102,16538.498047
51,12.002677,12.017344,0.000003,1.029500,496.407959,16502.556641
52,11.943761,12.017344,0.000003,1.006034,495.725281,16525.281250
53,11.954334,12.017344,0.000003,1.000725,500.581482,16364.967773
54,12.002438,12.017344,0.000003,1.003934,495.890045,16519.791016
