step,loss,val_loss,lr,norm,dt_ms,tok_per_sec
0,11.196653,-1,0.000000,95282.500000,4424.800042,14811.064766
1,11.180531,-1,0.000000,6183.288086,4305.509942,15221.425774
2,11.228030,-1,0.000000,19065.974609,4305.455241,15221.619163
3,11.176278,-1,0.000000,7866.537109,4330.738785,15132.752921
4,11.245418,-1,0.000000,19436.585938,4286.286006,15289.693667
5,11.204438,-1,0.000001,8353.727539,4298.992372,15244.502509
6,11.233103,-1,0.000001,15262.112305,4249.130289,15423.391504
7,11.259382,-1,0.000001,18673.125000,4300.813641,15238.046907
8,11.208901,-1,0.000001,13810.027344,4285.142037,15293.775430
9,11.233685,-1,0.000001,2140.468262,4297.708430,15249.056810
10,11.245786,-1,0.000001,8945.282227,4343.636874,15087.817398
11,11.252751,-1,0.000001,10971.674805,4363.582751,15018.851192
12,11.203563,-1,0.000001,11904.809570,4375.673579,14977.351216
13,11.207814,-1,0.000001,9980.496094,4373.367203,14985.249799
14,11.241660,-1,0.000001,11766.493164,4400.124170,14894.125136
15,11.191046,-1,0.000002,11046.734375,4370.536981,14994.953775
16,11.276623,-1,0.000002,3962.041260,4390.508336,14926.745375
17,11.266824,-1,0.000002,9178.027344,4386.387910,14940.767060
18,11.212230,-1,0.000002,10208.303711,4373.873139,14983.516421
19,11.240143,-1,0.000002,7020.921387,4358.582933,15036.079617
20,11.253170,-1,0.000002,3225.924072,4301.369952,15236.076118
21,11.278872,-1,0.000002,8012.882324,4323.650549,15157.561708
22,11.187258,-1,0.000002,5531.797363,4408.777320,14864.892292
23,11.225904,-1,0.000002,22591.093750,4402.450318,14886.255441
24,11.255724,-1,0.000002,7978.826660,4371.104435,14993.007139
25,11.197380,-1,0.000003,61703.218750,4352.543503,15056.943131
26,11.246477,-1,0.000003,6742.111816,4373.972726,14983.175275
27,11.207994,-1,0.000003,9230.920898,4374.589369,14981.063243
28,11.156255,-1,0.000003,2567.071289,4360.686101,15028.827685
29,11.156507,-1,0.000003,14639.496094,4357.422689,15040.083250
30,11.251226,-1,0.000003,15605.090820,4353.193735,15054.694091
31,11.187400,-1,0.000003,11169.720703,4357.668316,15039.235492
32,11.200542,-1,0.000003,5014.491211,4307.315308,15215.045873
33,11.222055,-1,0.000003,8056.461426,4316.907673,15181.237350
34,11.230910,-1,0.000003,4567.201172,4307.533632,15214.274710
35,11.234451,-1,0.000004,12553.558594,4313.475354,15193.317365
36,11.204828,-1,0.000004,85.912788,4295.039433,15258.532785
37,11.258513,-1,0.000004,7853.020020,4298.561588,15246.030250
38,11.171693,-1,0.000004,12982.140625,4279.910276,15312.470536
39,11.223102,-1,0.000004,10866.520508,4274.957454,15330.211050
40,11.234022,-1,0.000004,6407.400391,4291.124251,15272.454529
41,11.252813,-1,0.000004,2467.374023,4267.872749,15355.659331
42,11.248383,-1,0.000004,8811.194336,4366.089818,15010.227167
43,11.197822,-1,0.000004,4467.153320,4347.492406,15074.436912
44,11.174171,-1,0.000004,4133.403320,4315.917954,15184.718685
45,11.257178,-1,0.000005,9497.552734,4331.743701,15129.242292
46,11.212473,-1,0.000005,2506.770996,4293.140904,15265.280471
47,11.251819,-1,0.000005,5316.408203,4342.414066,15092.066073
48,11.189753,-1,0.000005,3922.295166,4319.338950,15172.692108
49,11.289451,-1,0.000005,13700.006836,4292.462506,15267.693057
50,11.214499,-1,0.000005,14827.003906,4295.351897,15257.422808
51,11.229522,-1,0.000005,5524.603516,4285.434284,15292.732465
52,11.256269,-1,0.000005,4407.925293,4336.152634,15113.859112
53,11.242423,-1,0.000005,7811.546387,4303.588503,15228.221740
54,11.201276,-1,0.000006,12104.984375,4346.776223,15076.920605
55,11.223419,-1,0.000006,3554.762695,4482.261814,14621.189640
56,11.186947,-1,0.000006,7711.999023,4473.669223,14649.272607
