step,type,value,lr,norm,dt,tok_sec
0,val,10.902542114257812,,,,
0,train,10.902499198913574,1.1834e-06,3.6719,2209.68,29658.54
1,train,10.900487899780273,2.3669e-06,3.7955,987.68,66353.16
2,train,10.882034301757812,3.5503e-06,3.9894,992.75,66014.90
3,train,10.873833656311035,4.7337e-06,3.7536,995.49,65832.63
4,train,10.856090545654297,5.9172e-06,3.6814,1006.08,65139.94
5,train,10.833075523376465,7.1006e-06,3.7776,997.93,65671.70
6,train,10.80029582977295,8.2840e-06,3.6522,987.11,66391.62
7,train,10.778392791748047,9.4675e-06,3.5780,981.65,66760.90
8,train,10.741117477416992,1.0651e-05,3.3635,1003.86,65283.97
9,train,10.699444770812988,1.1834e-05,3.3810,1023.13,64054.20
10,train,10.66958236694336,1.3018e-05,3.1761,1015.54,64533.16
11,train,10.643912315368652,1.4201e-05,2.8465,1027.57,63777.38
12,train,10.5819091796875,1.5385e-05,2.9714,1019.28,64296.29
13,train,10.525461196899414,1.6568e-05,2.8713,1001.84,65415.88
14,train,10.480998039245605,1.7751e-05,2.7230,1008.61,64976.70
15,train,10.471090316772461,1.8935e-05,2.4186,993.59,65958.63
16,train,10.424428939819336,2.0118e-05,2.3105,999.13,65593.08
17,train,10.373135566711426,2.1302e-05,2.3075,1042.23,62880.40
18,train,10.326451301574707,2.2485e-05,2.2260,1049.51,62444.22
19,train,10.314579010009766,2.3669e-05,2.1025,1042.52,62863.30
