step,type,loss,lr,norm,dt_ms,tok_per_sec
0,val,10.902526,,,,
0,train,10.902521,1.183432e-06,3.1974,3268.07,20053.40
1,train,10.900504,2.366864e-06,3.3056,1047.89,62540.78
2,train,10.882001,3.550296e-06,3.4708,1042.74,62849.66
3,train,10.873810,4.733728e-06,3.2657,1057.94,61946.91
4,train,10.856088,5.917160e-06,3.2030,1063.45,61625.74
5,train,10.833139,7.100592e-06,3.2901,1057.28,61985.45
6,train,10.800281,8.284024e-06,3.1828,1057.94,61947.01
7,train,10.778314,9.467456e-06,3.1193,1062.34,61690.05
8,train,10.741132,1.065089e-05,2.9364,1066.50,61449.70
9,train,10.699460,1.183432e-05,2.9556,1070.51,61219.64
10,train,10.669626,1.301775e-05,2.7844,1056.27,62044.78
11,train,10.643903,1.420118e-05,2.4989,1080.50,60653.39
12,train,10.581963,1.538462e-05,2.6180,1058.34,61923.47
13,train,10.525442,1.656805e-05,2.5475,1079.54,60707.28
14,train,10.481067,1.775148e-05,2.4332,1057.20,61990.25
15,train,10.471148,1.893491e-05,2.1752,1065.53,61505.26
16,train,10.424509,2.011834e-05,2.0961,1096.06,59792.57
17,train,10.373363,2.130178e-05,2.1076,1101.68,59487.55
18,train,10.326745,2.248521e-05,2.0556,1065.59,61502.04
19,train,10.314997,2.366864e-05,1.9587,1054.66,62139.65
20,train,10.275819,2.485207e-05,1.8927,1053.86,62186.70
21,train,10.234090,2.603550e-05,1.8742,1070.32,61230.47
22,train,10.223480,2.721893e-05,1.8099,1069.75,61262.72
23,train,10.220136,2.840237e-05,1.7119,1051.61,62319.84
24,train,10.178658,2.958580e-05,1.7350,1061.73,61725.57
25,train,10.119488,3.076923e-05,1.8998,1069.65,61268.68
26,train,10.136755,3.195266e-05,1.7217,1065.47,61509.14
27,train,10.080919,3.313609e-05,1.8197,1106.70,59217.29
28,train,10.064591,3.431953e-05,1.7914,1062.07,61706.11
29,train,10.059519,3.550296e-05,1.7138,1061.56,61735.74
30,train,10.009855,3.668639e-05,1.8378,1075.10,60958.15
31,train,10.044709,3.786982e-05,1.6570,1057.05,61998.74
32,train,10.009212,3.905325e-05,1.7009,1086.08,60341.75
33,train,9.978315,4.023669e-05,1.7193,1080.35,60661.65
34,train,9.963652,4.142012e-05,1.7310,1053.61,62201.51
35,train,9.952583,4.260355e-05,1.7045,1076.13,60899.60
36,train,9.939442,4.378698e-05,1.6812,1075.93,60910.78
37,train,9.904752,4.497041e-05,1.7013,1055.82,62071.15
38,train,9.878213,4.615385e-05,1.7308,1057.57,61968.62
39,train,9.839954,4.733728e-05,1.7629,1064.74,61551.24
40,train,9.828049,4.852071e-05,1.7461,1058.99,61885.51
41,train,9.817976,4.970414e-05,1.7335,1068.39,61340.61
42,train,9.776899,5.088757e-05,1.7860,1058.97,61886.80
43,train,9.756474,5.207101e-05,1.7636,1090.34,60106.22
44,train,9.762638,5.325444e-05,1.6918,1072.33,61115.71
45,train,9.704012,5.443787e-05,1.7484,1075.21,60951.82
46,train,9.740719,5.562130e-05,1.7121,1085.95,60349.25
47,train,9.703645,5.680473e-05,1.6866,1094.60,59871.83
48,train,9.651243,5.798817e-05,1.7396,1099.94,59581.47
49,train,9.688112,5.917160e-05,1.7113,1076.15,60898.54
50,train,9.566233,6.035503e-05,1.7540,1097.12,59734.71
