step,type,loss,lr,norm,dt_ms,tok_per_sec
0,val,10.902526,,,,
0,train,10.902521,1.183432e-06,3.1974,2649.19,24738.16
1,train,10.900488,2.366864e-06,3.3056,1098.39,59665.27
2,train,10.881998,3.550296e-06,3.4708,1096.05,59792.67
3,train,10.873742,4.733728e-06,3.2657,1098.68,59649.64
4,train,10.856018,5.917160e-06,3.2029,1096.54,59765.99
5,train,10.833052,7.100592e-06,3.2901,1101.21,59512.87
6,train,10.800386,8.284024e-06,3.1828,1098.21,59675.13
7,train,10.778406,9.467456e-06,3.1194,1099.30,59616.21
8,train,10.741085,1.065089e-05,2.9364,1100.87,59531.12
9,train,10.699422,1.183432e-05,2.9556,1105.29,59293.13
10,train,10.669643,1.301775e-05,2.7844,1113.69,58845.77
11,train,10.643925,1.420118e-05,2.4990,1139.26,57524.83
12,train,10.581931,1.538462e-05,2.6180,1144.04,57284.59
13,train,10.525450,1.656805e-05,2.5476,1144.47,57263.36
14,train,10.481119,1.775148e-05,2.4331,1118.58,58588.50
15,train,10.471199,1.893491e-05,2.1752,1092.30,59998.43
16,train,10.424498,2.011834e-05,2.0962,1093.04,59957.60
17,train,10.373377,2.130178e-05,2.1076,1092.09,60009.58
18,train,10.326746,2.248521e-05,2.0556,1093.84,59913.86
19,train,10.315033,2.366864e-05,1.9587,1092.61,59981.06
20,train,10.275885,2.485207e-05,1.8927,1092.75,59973.42
21,train,10.234128,2.603550e-05,1.8742,1096.05,59792.72
22,train,10.223488,2.721893e-05,1.8099,1097.61,59707.89
23,train,10.220140,2.840237e-05,1.7119,1095.38,59829.27
24,train,10.178642,2.958580e-05,1.7349,1095.61,59817.07
25,train,10.119478,3.076923e-05,1.8997,1090.72,60085.03
26,train,10.136749,3.195266e-05,1.7217,1094.29,59888.94
27,train,10.080936,3.313609e-05,1.8197,1096.31,59778.47
28,train,10.064579,3.431953e-05,1.7914,1095.98,59796.68
29,train,10.059530,3.550296e-05,1.7138,1099.80,59589.01
30,train,10.009853,3.668639e-05,1.8378,1099.79,59589.46
31,train,10.044662,3.786982e-05,1.6570,1094.32,59887.64
32,train,10.009224,3.905325e-05,1.7009,1095.66,59814.14
33,train,9.978308,4.023669e-05,1.7193,1094.42,59881.91
34,train,9.963631,4.142012e-05,1.7310,1093.57,59928.39
35,train,9.952547,4.260355e-05,1.7045,1094.75,59863.70
36,train,9.939478,4.378698e-05,1.6812,1096.47,59769.85
37,train,9.904791,4.497041e-05,1.7013,1097.19,59730.56
38,train,9.878229,4.615385e-05,1.7308,1097.32,59723.60
39,train,9.839931,4.733728e-05,1.7629,1100.00,59578.02
40,train,9.828075,4.852071e-05,1.7461,1102.95,59418.75
41,train,9.817929,4.970414e-05,1.7335,1129.12,58041.86
42,train,9.776867,5.088757e-05,1.7861,1126.65,58168.99
43,train,9.756471,5.207101e-05,1.7636,1124.22,58294.74
44,train,9.762633,5.325444e-05,1.6917,1117.53,58643.47
45,train,9.704020,5.443787e-05,1.7484,1114.80,58787.01
46,train,9.740765,5.562130e-05,1.7121,1117.01,58670.86
47,train,9.703653,5.680473e-05,1.6866,1118.76,58579.29
48,train,9.651246,5.798817e-05,1.7396,1108.98,59095.75
49,train,9.688129,5.917160e-05,1.7113,1128.86,58054.92
50,train,9.566288,6.035503e-05,1.7540,1138.43,57566.75
51,train,9.511816,6.153846e-05,1.8050,1146.87,57143.44
52,train,9.551470,6.272189e-05,1.6589,1110.30,59025.71
53,train,9.506668,6.390533e-05,1.7116,1107.02,59200.15
54,train,9.473846,6.508876e-05,1.6850,1116.02,58722.88
55,train,9.463522,6.627219e-05,1.6433,1151.84,56896.58
56,train,9.427027,6.745562e-05,1.6408,1150.51,56962.53
57,train,9.397514,6.863905e-05,1.6590,1148.87,57043.78
58,train,9.352837,6.982249e-05,1.6809,1148.15,57079.64
59,train,9.382689,7.100592e-05,1.5744,1147.21,57126.39
60,train,9.280307,7.218935e-05,1.6303,1149.02,57036.45
61,train,9.254873,7.337278e-05,1.6474,1146.71,57151.30
62,train,9.237649,7.455621e-05,1.6271,1150.43,56966.53
63,train,9.252563,7.573964e-05,1.5486,1150.14,56981.14
64,train,9.174388,7.692308e-05,1.6439,1145.90,57191.90
