step,type,value,lr,norm,dt,tok_sec
0,val,10.902542114257812,,,,
0,train,10.902499198913574,1.1834e-06,3.6719,2121.64,30889.36
1,train,10.900450706481934,2.3669e-06,3.7955,981.67,66759.53
2,train,10.88201904296875,3.5503e-06,3.9894,982.42,66708.50
3,train,10.873795509338379,4.7337e-06,3.7537,982.18,66725.16
4,train,10.856078147888184,5.9172e-06,3.6814,985.54,66497.74
5,train,10.833100318908691,7.1006e-06,3.7776,981.53,66769.54
6,train,10.800326347351074,8.2840e-06,3.6522,980.34,66850.06
7,train,10.77837085723877,9.4675e-06,3.5781,979.10,66934.91
8,train,10.741191864013672,1.0651e-05,3.3635,977.85,67020.43
9,train,10.69942855834961,1.1834e-05,3.3810,978.72,66960.83
10,train,10.669629096984863,1.3018e-05,3.1762,981.49,66771.76
11,train,10.6439208984375,1.4201e-05,2.8465,980.08,66868.07
12,train,10.581899642944336,1.5385e-05,2.9713,983.54,66633.01
13,train,10.525447845458984,1.6568e-05,2.8713,984.19,66588.85
14,train,10.481006622314453,1.7751e-05,2.7230,987.09,66393.40
15,train,10.47113037109375,1.8935e-05,2.4186,980.41,66845.66
16,train,10.424371719360352,2.0118e-05,2.3104,982.39,66710.78
17,train,10.373188018798828,2.1302e-05,2.3075,984.63,66558.71
18,train,10.326448440551758,2.2485e-05,2.2260,982.73,66687.69
19,train,10.31454849243164,2.3669e-05,2.1025,984.36,66577.14
20,train,10.2753267288208,2.4852e-05,2.0145,983.06,66665.63
21,train,10.233428955078125,2.6036e-05,1.9732,993.92,65937.14
22,train,10.222807884216309,2.7219e-05,1.8931,1001.74,65422.46
23,train,10.219252586364746,2.8402e-05,1.7773,1007.74,65032.49
24,train,10.177704811096191,2.9586e-05,1.7858,1000.21,65522.57
25,train,10.118484497070312,3.0769e-05,1.9599,1005.42,65183.02
26,train,10.13556957244873,3.1953e-05,1.7596,1000.62,65495.43
27,train,10.079713821411133,3.3136e-05,1.8605,992.65,66021.02
28,train,10.063346862792969,3.4320e-05,1.8214,999.91,65541.95
29,train,10.058205604553223,3.5503e-05,1.7344,1000.76,65486.35
30,train,10.008398056030273,3.6686e-05,1.8652,989.93,66202.84
31,train,10.043313026428223,3.7870e-05,1.6725,1002.19,65393.08
32,train,10.007750511169434,3.9053e-05,1.7148,1003.14,65331.10
33,train,9.976663589477539,4.0237e-05,1.7330,991.53,66095.74
34,train,9.961935043334961,4.1420e-05,1.7450,1012.27,64741.74
35,train,9.950942039489746,4.2604e-05,1.7147,999.50,65569.11
36,train,9.937467575073242,4.3787e-05,1.6926,1016.48,64473.31
37,train,9.90254020690918,4.4970e-05,1.7099,1018.04,64374.76
38,train,9.875724792480469,4.6154e-05,1.7423,1023.70,64018.86
39,train,9.83743667602539,4.7337e-05,1.7749,1029.08,63684.19
40,train,9.824955940246582,4.8521e-05,1.7555,1004.90,65216.16
41,train,9.814830780029297,4.9704e-05,1.7435,991.20,66117.79
42,train,9.771677017211914,5.0888e-05,1.7963,994.46,65901.23
43,train,9.752725601196289,5.2071e-05,1.7744,1036.48,63229.53
44,train,9.758218765258789,5.3254e-05,1.6997,1010.27,64869.63
45,train,9.69915771484375,5.4438e-05,1.7559,998.97,65603.55
46,train,9.734601974487305,5.5621e-05,1.7249,1013.18,64683.65
47,train,9.69780158996582,5.6805e-05,1.6956,996.27,65781.23
48,train,9.644986152648926,5.7988e-05,1.7486,988.48,66299.50
49,train,9.681855201721191,5.9172e-05,1.7293,1022.31,64105.99
50,train,9.558856964111328,6.0355e-05,1.7580,1004.03,65272.80
51,train,9.504430770874023,6.1538e-05,1.8143,1004.12,65267.01
52,train,9.540788650512695,6.2722e-05,1.6635,1005.52,65176.34
53,train,9.49789047241211,6.3905e-05,1.7139,1005.59,65171.80
54,train,9.465231895446777,6.5089e-05,1.6838,994.47,65900.23
55,train,9.455310821533203,6.6272e-05,1.6427,990.79,66145.19
56,train,9.419100761413574,6.7456e-05,1.6389,1001.66,65427.60
57,train,9.389618873596191,6.8639e-05,1.6581,987.48,66367.14
58,train,9.345518112182617,6.9822e-05,1.6808,992.39,66038.51
59,train,9.37435531616211,7.1006e-05,1.5765,996.84,65743.59
60,train,9.27184009552002,7.2189e-05,1.6317,998.80,65614.74
61,train,9.246274948120117,7.3373e-05,1.6503,998.26,65650.01
62,train,9.22887134552002,7.4556e-05,1.6312,992.66,66020.49
63,train,9.243145942687988,7.5740e-05,1.5542,1004.76,65225.29
64,train,9.164480209350586,7.6923e-05,1.6464,992.61,66023.97
65,train,9.16767692565918,7.8107e-05,1.5985,1008.88,64959.45
66,train,9.085193634033203,7.9290e-05,1.6341,991.25,66114.52
67,train,9.044054985046387,8.0473e-05,1.6968,1001.58,65432.66
68,train,9.050496101379395,8.1657e-05,1.6000,999.70,65555.65
69,train,8.99692153930664,8.2840e-05,1.6167,1025.20,63925.32
70,train,8.994997024536133,8.4024e-05,1.5968,985.92,66472.25
71,train,8.917096138000488,8.5207e-05,1.6352,985.71,66486.33
72,train,8.886152267456055,8.6391e-05,1.6148,986.87,66408.01
73,train,8.867145538330078,8.7574e-05,1.6013,998.48,65635.75
74,train,8.858074188232422,8.8757e-05,1.5669,993.62,65956.92
75,train,8.801761627197266,8.9941e-05,1.5920,988.40,66305.00
76,train,8.755813598632812,9.1124e-05,1.6389,990.08,66192.46
77,train,8.747576713562012,9.2308e-05,1.5507,998.41,65640.17
78,train,8.71438980102539,9.3491e-05,1.5726,999.45,65571.97
79,train,8.698326110839844,9.4675e-05,1.5228,1005.83,65155.90
80,train,8.676837921142578,9.5858e-05,1.5293,996.20,65785.78
81,train,8.603954315185547,9.7041e-05,1.6132,1032.68,63462.15
